Best individual,Fitness value,Dimention,Alpha,Beta
"[24.356314906971203, 30.3725701697444, 69.1325995374375, 191.92685275561155]",764271.6144130242,4,40,0.2
"[17.69974106123131, 43.64918467900648, 68.70986488913685, 89.36839825509364]",949766.4783266096,4,50,0.2
"[14.491673974827046, 50.64811859129522, 72.91194836672481, 158.53924250709554]",627027.7349586956,4,60,0.2
"[24.356314906971203, 30.3725701697444, 69.1325995374375, 191.92685275561155]",764271.6144130242,4,40,0.2
"[17.69974106123131, 43.64918467900648, 68.70986488913685, 89.36839825509364]",949766.4783266096,4,50,0.2
"[14.491673974827046, 50.64811859129522, 72.91194836672481, 158.53924250709554]",627027.7349586956,4,60,0.2
"[24.356314906971203, 30.3725701697444, 69.1325995374375, 191.92685275561155]",764271.6144130242,4,40,0.2
"[17.69974106123131, 43.64918467900648, 68.70986488913685, 89.36839825509364]",949766.4783266096,4,50,0.2
"[14.491673974827046, 50.64811859129522, 72.91194836672481, 158.53924250709554]",627027.7349586956,4,60,0.2
"[24.356314906971203, 30.3725701697444, 69.1325995374375, 191.92685275561155]",764271.6144130242,4,40,0.2
"[17.69974106123131, 43.64918467900648, 68.70986488913685, 89.36839825509364]",949766.4783266096,4,50,0.2
"[14.491673974827046, 50.64811859129522, 72.91194836672481, 158.53924250709554]",627027.7349586956,4,60,0.2
"[24.356314906971203, 30.3725701697444, 69.1325995374375, 191.92685275561155]",764271.6144130242,4,40,0.2
"[17.69974106123131, 43.64918467900648, 68.70986488913685, 89.36839825509364]",949766.4783266096,4,50,0.2
"[14.491673974827046, 50.64811859129522, 72.91194836672481, 158.53924250709554]",627027.7349586956,4,60,0.2
