Best individual,Fitness value,Dimention,Alpha,Beta
"[22.58056946706048, 22.74530378025095, 55.41555566717286, 85.45314030393206]",889286.9156327298,4,50,0.1
"[28.232161795995594, 78.51373735422871, 97.49048910759402, 146.96264819916792]",1032368.7406874862,4,50,0.2
"[6.68847732465527, 25.74028945379753, 155.18735720406733, 78.52905959661706]",599436.5151271453,4,50,0.3
"[22.58056946706048, 22.74530378025095, 55.41555566717286, 85.45314030393206]",889286.9156327298,4,50,0.1
"[28.232161795995594, 78.51373735422871, 97.49048910759402, 146.96264819916792]",1032368.7406874862,4,50,0.2
"[6.68847732465527, 25.74028945379753, 155.18735720406733, 78.52905959661706]",599436.5151271453,4,50,0.3
"[22.58056946706048, 22.74530378025095, 55.41555566717286, 85.45314030393206]",889286.9156327298,4,50,0.1
"[28.232161795995594, 78.51373735422871, 97.49048910759402, 146.96264819916792]",1032368.7406874862,4,50,0.2
"[6.68847732465527, 25.74028945379753, 155.18735720406733, 78.52905959661706]",599436.5151271453,4,50,0.3
"[22.58056946706048, 22.74530378025095, 55.41555566717286, 85.45314030393206]",889286.9156327298,4,50,0.1
"[28.232161795995594, 78.51373735422871, 97.49048910759402, 146.96264819916792]",1032368.7406874862,4,50,0.2
"[6.68847732465527, 25.74028945379753, 155.18735720406733, 78.52905959661706]",599436.5151271453,4,50,0.3
"[22.58056946706048, 22.74530378025095, 55.41555566717286, 85.45314030393206]",889286.9156327298,4,50,0.1
"[28.232161795995594, 78.51373735422871, 97.49048910759402, 146.96264819916792]",1032368.7406874862,4,50,0.2
"[6.68847732465527, 25.74028945379753, 155.18735720406733, 78.52905959661706]",599436.5151271453,4,50,0.3
