Best individual,Fitness value,Dimention,Alpha,Beta
"[0.5302205757697376, -0.4825857889356668]",0.240750806786874,2,40,0.2
"[0.3237720370241212, 0.47290296762545864]",0.3954391438791624,2,50,0.2
"[0.4775323772211424, 0.10259264617097558]",0.1492219872061078,2,60,0.2
"[-1.460677716917414, -0.5230054968100353, -1.61588783599204, -1.5156301405834465, -0.45751385020380864]",8.509217283894529,5,40,0.2
"[-0.10505236140102711, 0.6236264109197391, 0.4769184902394804, 0.4961389327774355, 0.523356911407018]",7.9517831983169085,5,50,0.2
"[-0.5287265761328491, 0.9655336378275572, 0.5624192353323876, -0.5653194090404301, -1.3847438529674465]",6.482887262294421,5,60,0.2
"[-0.020846359619264065, 0.1515505121981109, 0.5012151690897249, -0.411261135982554, 0.38746864543823534, 0.6473142475719238, 0.7211773457000539, -0.5249162729296812, 0.14628112764145507, -0.5427426703311955]",47.159996942334615,10,40,0.2
"[-0.41234786109237953, -0.48812585594920554, 0.019095931861399157, 0.27028600072351716, -0.5159224330811264, -0.7490068505482659, -0.3519151634383534, -1.3256199939414954, -0.47654706074359066, -2.158464002051478]",44.0262533792254,10,50,0.2
"[-0.5010818209095369, -0.5031317796022237, 0.8098903243545266, 0.30955003399431735, 1.5009241029820548, 1.3909392423457971, 1.2750908747885863, 0.7405399157237216, -1.5241664661364447, -0.3600144530354109]",49.034976970086085,10,60,0.2
"[-0.26939845538647816, 0.39291415635929106, 0.7397930705012921, 1.505312377198251, -0.340433001407179, 1.0752466291098914, -2.3852904549340264, 1.5961752502090558, 0.5581394929682053, -0.2599489953542451, -1.3217885517494694, 1.201704386715869, 1.262562248423283, -1.5896714717800902, -0.38829632497341854, 0.8875877144085484, 0.6168742991814189, 0.6576492078235392, 0.29209433915569316, 0.07962617100175091]",113.8525954365728,20,40,0.2
"[-1.3013582487262636, -2.3424763877441928, 1.368462259970156, -0.5579933989465772, 1.7368792724079687, 0.8794244845145708, 0.46426028088282356, -0.5042862268114732, -0.45178437289559975, 0.6481121301404797, -0.5158391992076645, -1.5329958232908119, -0.32822445564832015, 0.7128218678053782, 1.5046001819911279, -0.6715545181921765, 2.18291570136955, -0.4533049647639693, -1.332591680166746, -1.3183797577928367]",114.81252769847042,20,50,0.2
"[0.5401800915624466, 0.4864859507666963, 0.5566996746857034, 0.24614639900809188, -0.13234196768964201, 1.4184813305148203, -0.7301340085866517, -0.19649633332120042, 0.7125121645400131, 0.6026313585329941, -1.2472041416783584, 0.7181874395404344, -2.5082038944040432, -0.45682513536719116, 0.42551839001265496, 0.8396565424251543, 0.5362549718592625, 0.1883142867855344, 1.010952429946162, 0.4633935041919719]",137.79720779693494,20,60,0.2
"[-0.23674445447497577, 0.39484659442689074, 0.5180056942651217, -1.4255993123958353, 1.1190167573410874, 0.1818280186935733, -0.2523567380764118, -0.32441701030353187, 1.5039084189135599, -1.7880568141786573, 0.13929407851977738, 0.6542539097278988, -1.3986864420939713, -0.3835546592142019, 0.32202304795494985, -0.44885275335517727, -0.668274039332546, 0.6112442602873164, 0.3684371844509394, 0.07287663199593607, 0.9367062108770592, -1.5042870713297845, 0.5779051872501747, -0.2941657767868966, 0.27189903172125096, -0.5649182596527431, -0.572795387945524, -0.4382031019979573, -0.43102958642272327, 0.33750727810181197]",158.5278236443402,30,40,0.2
"[-0.3513103061082433, -1.4606357964266379, 1.2241039467624921, 0.30572801984902354, 0.07969470682961938, 0.44871435055080733, -0.28982827021915225, -0.5435642523471262, 0.066354542217539, 0.9286055642843426, -0.04193075142977454, 0.5993884598505372, -1.2848916875768253, -1.5868135041426668, -1.3628498053267621, -0.9188049415125297, -0.1940163188562982, -1.5069380182486563, -0.26153466984439666, 0.6596221385479183, 0.8234140971788986, 0.8426517607646318, -1.7141282564536446, -0.47416603877622, -0.7735917881891684, -1.1569717204133354, 0.6128676924994836, 1.4327032180525496, -2.713031764233561, 0.52939946139378]",218.98332099096248,30,50,0.2
"[0.408892634101801, 0.596937443704952, 0.7065547373591037, 1.4654347544981208, -0.1410606602348542, 0.3355188224117681, 1.4830757569832025, -0.47934910554715515, -1.3292540673172746, 1.4981377194849177, 0.961198363544248, -1.4504048140522485, -1.7794877234717337, 1.4436327597177212, 1.3990424403533746, 0.2365273084153693, 0.21802022515074204, 0.028002459167418392, -1.2083441839844666, -1.470128117581568, 0.2615504046830156, -0.19118954211663308, -0.33602435941918457, -1.627625746713445, -0.6028404692390001, -0.564234729591697, -0.9112529507100744, -1.861304010977445, 1.5906041348845674, 0.4829886892382918]",226.47605093070467,30,60,0.2
