Best individual,Fitness value,Dimention,Alpha,Beta
"[-0.4749948533140669, 0.5084033289093223]",0.1377988488634827,2,50,0.1
"[-0.028914612750840944, -0.5471986266681321]",0.5949641060132365,2,50,0.2
"[-0.5143541672739764, -0.12245693315056275]",0.0961268075857866,2,50,0.3
"[0.7034077002673251, 0.8515938496566211, -0.5496558999090126, 0.4999169478497958, 0.7723858135031246]",10.750652775080884,5,50,0.1
"[-0.49822934157082166, 0.46531736245716215, 1.5338650700027632, -0.6833730507491291, -0.5069147710231166]",10.578482402744516,5,50,0.2
"[1.1640794808989812, -1.425599930280272, -1.6382797131544828, 0.2905548413977039, -0.4789058810048551]",8.765742732189455,5,50,0.3
"[-0.46095059355803825, 1.2703981695318867, -0.4635254729930194, 1.461319254936422, -0.4435088808555328, 0.7933481118524424, -1.5933154569126446, 0.7312866629897601, -0.5095380470427061, 1.4510161401296726]",43.90376616915773,10,50,0.1
"[2.660540275171685, 0.9122533913280457, -0.24908933916035458, 0.4166443558798982, -0.2751914078201302, -0.40323689267806834, 0.5388396105507249, -1.4017359489288306, -1.3780133474197225, -0.5452237706695229]",41.28601111847699,10,50,0.2
"[-0.0319391131293086, -0.5130951704229683, 0.05642249290405224, 0.9662209363117482, -1.6294960207963105, -1.4715064981435098, -0.6263110732721897, 0.9107207176709148, -1.4153901041835995, -1.9241375916813372]",25.585542521381825,10,50,0.3
"[0.8009680968494037, -0.7361638434407569, 0.39110547014870356, 0.611862912365463, -0.12224805335100009, -0.7360530346131539, -0.5879736873184078, -0.9593643992577136, 0.7792779552465892, -0.5415530843711464, 0.5631384032594495, -0.5461941620001606, 0.03790016027387195, -0.6895638970838549, -1.4977008224698758, -0.1759290723661608, 1.7227980935238825, 0.6349669958527262, -0.2294956397431115, -0.3322724550718231]",127.94950994177812,20,50,0.1
"[-0.8810604975468723, 1.1784147383634536, -0.5362057745005508, -0.10339494968263174, 2.4158793159873446, -0.9102386999701126, 0.4852693873793159, -0.23597604902141694, 0.5361416217771577, 0.36265873328185205, -1.405304813477266, 0.40710397904598344, 0.5195637978637692, 1.3656638978460351, -0.2284451602260677, 1.630051654717523, -1.0875328572012903, 0.1271221358598524, -0.6995328669777949, 1.4007809707045853]",141.89113029170844,20,50,0.2
"[-0.1688506832296943, 0.5578097362975916, -0.7941457534900718, -0.3229472062828168, 0.9597942927413932, -0.3544031888768139, -0.3761592652670075, -0.10010385484602488, -0.21195315303669265, -1.5329930760041601, -0.8969946187482244, -0.38694388001770097, 0.06717050396770768, 0.6020182131798936, -0.2604687765732017, 1.09666752702266, 0.6206108885954291, -0.6216372289805647, -0.5417569690526334, -0.26081611541545824]",112.62717978049623,20,50,0.3
"[-1.4586196245868255, -0.40068972848182427, 1.5465810205832864, 0.26202294470878273, -0.7998826045585907, 0.5741549663729355, -0.2789357771547131, -1.3159496778882411, 0.2817449760874442, -1.298836721857204, -0.1699949820430795, 0.6156645431904963, -0.19720448477855645, 0.4657972651454054, -0.20507545594520415, 0.6369661106633937, -1.5649239053818387, 0.4350348409909719, -1.508666283817228, -1.2778081770994119, 0.18826089036254157, -0.9648460955997418, -0.9615279553819406, -2.3862159965610763, -0.2890118391873877, 0.14478232664384455, 0.43458229742178645, 0.5225850853143787, -0.399745500991232, -0.47821601126469404]",212.15717085236315,30,50,0.1
"[1.3770361152175024, -0.9051885338817198, 0.48781888277232344, 1.3681348670200146, 1.1604159120806465, -0.6888149896733591, -0.41551248583518063, 0.18078117511004543, 0.36538435079280285, -1.1904713978771424, 1.5288149695790791, -1.27947472554183, 1.3121751262119081, -1.6498689044052766, -0.5439752356061236, -1.3563110375954888, 1.3949556695608616, 0.7154937007954996, -1.4663929281764905, 0.0688078406015113, 0.04537177671333947, 0.30832158518601643, 1.3923923830925709, -3.593244494957441, -1.3112276426497949, -1.2155159558483049, -0.38681888405754483, -0.4834939713108785, -0.19767195181839092, -1.569974020417517]",219.69555153205067,30,50,0.2
"[-1.4859721058629711, -1.4563025072353126, 3.3162747956603162, -0.2880280941115556, 1.5769441731457772, -0.4322686821243309, 0.3387631458627669, -0.863789736180834, 0.4221008748518553, -0.13574852929465714, -0.4455031303180799, -1.5621667479103931, -1.8896831427394456, -1.5748735074713813, 0.590465207465765, -2.2371372121670174, -0.9233513729623815, -0.3464722041846102, -1.4069234635544734, -1.3913495764065997, 0.35050250368033664, 1.5280622120963998, 0.43546652172392547, 1.6658296808173398, 0.010371821925592994, -0.30550386321237977, 0.38646102932178517, -0.8552094728993378, -1.3483623391211559, 0.06934097646814008]",204.2556169582343,30,50,0.3
