Best individual,Fitness value,Dimention,Alpha,Beta
"[0.489207012525819, 0.47922306172244244]",0.0001644508646169,2,40,0.2
"[1.5802566738698443, 0.6655138812602897]",0.0066486665885263,2,50,0.2
"[0.40300200329591807, 0.4045902802886151]",0.0094876205351337,2,60,0.2
"[0.6738331387257985, 0.9707907870431132, -0.18418096928482275, -0.23437208071476578, 0.786239689590772]",9.884236784937505,5,40,0.2
"[-0.19943383029987793, 0.7575553021432688, 1.0593290137175142, 0.9906845332768957, 0.22943558963389757]",20.92562581704747,5,50,0.2
"[0.3329771077059229, -0.6232591677188177, 0.5924255020108001, 0.43627539959796624, -0.3953680119649059]",8.9938606676504,5,60,0.2
"[-0.7255133121804759, -0.26560488251738124, -0.33934437253942756, 0.03134948976252344, -0.9850528757308659, 0.3719354411542075, 0.5907476165244316, 0.10193072218681332, 1.6321080121113998, 0.5291254260321459]",208.49813652379692,10,40,0.2
"[1.699224283068929, 0.5912787330148523, 1.394281134486651, 1.2325046374799813, 1.4427116331335021, 0.6716847255898023, -0.6285291198350981, -0.2881557457533581, -0.21975327778520626, 1.499551476637963]",182.82352838976564,10,50,0.2
"[1.5710420916692365, 1.5947363788444138, 1.6269633516644526, 0.3707124319225742, 0.15005402086863395, 0.17326912415651052, 0.9848236281321814, -0.8684497151714672, 0.721576040825749, 1.722520957302602]",234.4004118154988,10,60,0.2
"[0.6161058375163659, -0.350083263197895, -0.005163942988119952, -0.056694222421891816, 1.147654189206285, 0.21639183299776643, 1.1720654771444798, 0.6524561823206132, 0.8468795206642306, 1.3474023382415525, -0.740211210667858, -0.45454522194019076, -0.10954542118525368, 0.37924496210577374, 1.3962738660922254, 0.24464224628077896, 0.529232134135751, 0.30332178446352565, -0.7762869876629019, 1.22491427418854]",867.1823044675032,20,40,0.2
"[-1.0466869141425634, 1.0243278316240099, 0.22154116493350773, 0.9755648699978456, -0.5550453829855425, 0.2221921479210296, 1.056657985416803, -1.068583500737458, 1.0064876470241944, -0.09519748253011295, -0.3346723706260379, 0.6577624439628758, -1.1552995904883057, 0.8894451119956734, 0.4601487305879097, 0.03507687716326835, -0.529724656481638, 0.3137503512691706, -0.08426661733794782, 1.037865965040049]",364.8773237371074,20,50,0.2
"[-0.4485923578903963, 1.177435559738444, -0.048546364910023954, -0.649114145310951, 0.1577697454877824, -0.8584750962294654, 0.20059399100634634, 0.15356234858019552, -1.2529581141861825, 0.3391086918344255, -0.43978063384543875, -1.539558918825424, -0.05667336790877797, -0.21283764959031415, -0.20311145359195643, 0.5367635535435422, 0.18990252475556227, -0.9156247575537673, 0.840583439956485, 0.9532269065381487]",646.9566852595837,20,60,0.2
"[-0.25463840035066676, -0.15532520576664555, 1.2887930677107735, -1.8810711480418414, 0.5244140523602383, 0.14414507638656393, -0.160269772750675, 1.1478682778573202, -0.92834371997384, -0.5970733026047231, -0.4518228528327106, 0.3542324119760323, -1.0335768535959904, -0.016868241685239094, 1.0295534898868999, 0.6801994137884837, -0.906152891086149, 0.20464186452144162, -0.6177423110118339, -1.677239075892176, 1.0113416269003213, 0.5967527102350415, 0.0695846000701994, -0.597459872957443, 0.4770772290097689, 0.45648779619565394, -1.5222907940738866, 1.3980687056543681, -0.5747910529479059, -1.7700601710751265]",3868.5842088812974,30,40,0.2
"[-1.138164318944571, 0.13836756737244382, 1.1744055814188552, 0.4995453644982386, -1.330250981891622, 0.8754559343054962, -0.611160021965256, 1.005536986110918, -0.4910059475955121, 0.48477144474354283, 0.22141104039523063, 0.91348840826931, -0.26771202942115463, 0.7736200163981821, 0.24789170097736835, -0.7149173635470825, -0.24035803496349417, 0.3651404889534664, 0.22570446142548561, 0.4428824352354317, -0.5872667572644142, -0.18420670802343136, -0.3356745998596704, 0.7553296611354642, 1.747198695162447, 2.4034727197450856, 0.7707150461094412, 0.4871045978721186, 0.4511826670837945, 0.5312264306413627]",1814.9490556458788,30,50,0.2
"[1.0259302559642252, 1.3008855176463205, 0.3575133775912608, -0.9364317300711045, -1.401092658828609, 1.8468281017735733, 0.6373199332555186, 1.8079291744487662, -0.9071123213857424, -0.9803706784410293, 0.9846035972891422, 0.9849484574028282, 0.7434760602819435, -1.1711464105831995, 2.2490563172345057, 0.35878695163366514, -0.11483325507971442, -0.8024551920271121, 1.2089921517270237, -0.05546585209697685, 0.053417904507322755, -0.8004931165662024, 0.3892215366691353, 1.4781891770363447, 0.6317373283486241, 2.2166835015307544, 2.4836086715622647, 0.44692509225854005, 0.7025717354826524, -0.8661066268322126]",4893.434172158168,30,60,0.2
