Best individual,Fitness value,Dimention,Alpha,Beta
"[1.4080299972902677, 0.32466114055138384]",0.0084605167164505,2,50,0.1
"[0.4371237129121327, 1.3704376221067776]",0.0099802033373471,2,50,0.2
"[1.0307664708526436, 1.585501185774662]",0.0035427926799618,2,50,0.3
"[-0.11348994759388076, -0.3981146275922673, -0.4837863888978975, -0.48359148853282874, -0.27409182788913955]",8.464700143415968,5,50,0.1
"[-0.7632065044816367, -0.5116581640664936, 0.4970295849033328, -0.5367291778665804, 0.6007254074123006]",6.478460171876155,5,50,0.2
"[0.3566112400099452, -0.7430769248133198, 1.0492884930621964, -0.10288247224984004, -0.2829347427096835]",39.84515081078512,5,50,0.3
"[0.547827260573573, -0.9845356318007096, 0.05478821850508131, 1.0525120329116426, 0.06591178531538855, -0.16274045581537755, -0.8492937813819583, 0.8779978317168025, -0.44644717569314035, 0.39928571339917024]",89.96121754153636,10,50,0.1
"[0.14300264874059343, 0.6003212561282852, 0.24784097837198293, -0.8249208024891724, -0.2903561642313748, -0.14133280199852455, 0.5434477767795474, -0.4499467875974953, -0.7467777225176766, 0.8805105917159128]",59.803859188079954,10,50,0.2
"[0.17405071740063915, 1.3195357200561282, 0.6695318715475318, -0.8911688718575207, 0.02281132030820321, 0.6276871547713481, 0.01289395371355423, 0.100875047786738, 0.08701912378787657, -0.10610051549011557]",110.33970760749168,10,50,0.3
"[0.18340836831189505, -0.5821494712314548, 1.1384285124850633, -0.2609388552914822, -0.3360115352182459, -1.093317591766665, -1.0197934805195317, -0.7018771927513279, -0.9683839530200401, 0.4138644411822031, -0.0570538511984946, -1.0825110477777713, -0.6306449993719401, -0.430837428277667, -0.17118141971751916, 0.5676762689164794, -0.2605800932775229, 1.4563496877023931, 1.0760565755649112, 0.3917242348991862]",793.5366258819008,20,50,0.1
"[-0.15726875085333725, -0.05787242912412416, 1.4205760006584485, -0.20966219684269105, 0.530970571210977, -0.4567679664804646, -0.4314624303286687, 0.1935398248463187, 0.332979802554745, 0.06579267979201298, 0.2532049533713989, -0.41200928263189707, -0.506646556460213, 0.19493999176145815, -1.1441819940944813, -0.5447190576800518, -0.029145523923432948, 0.031081416758705904, 0.7011735553823704, 0.2482025659971776]",436.7006706411505,20,50,0.2
"[-0.7480275617667771, 0.7578408875372122, 1.5559156836513157, 0.21842519603304344, -0.6539272536423822, -0.7168910420361972, 0.30326501067596157, 0.554534226471513, 0.8902482589642059, -1.093232891759435, 0.9731679376434297, 0.5798175387503218, -0.27102343417113395, 0.6181988099865068, 0.9563887367556936, -0.3501777993577201, 0.7755547179110567, 0.034007862518720684, -0.1836616644801229, 1.069103114935175]",800.4903470530076,20,50,0.3
"[0.335482879219217, 0.9133209018257051, -1.109928269639041, -0.602638538852216, 0.5775210236087824, -0.3085697756071876, 0.09953080818286564, 1.185658532075871, 1.0905203228982356, 0.03628758966442169, -0.2590709053900142, 1.240285576791108, -0.03916978735044374, -0.022654103709181805, -0.4536986897206886, -0.6572792795816255, 1.132422047585013, 0.7596583351495607, 0.24354372800564128, 0.09824244372450658, 0.13952674229815382, -0.9900148719778827, 1.1665217618939279, 0.4559964895011156, 0.24453222798677032, 1.2013668950347898, 0.3199310264050656, 1.1877519006642092, -1.0743117451009967, -2.108750069059802]",2017.4662975835024,30,50,0.1
"[-0.019080857221633885, 1.2088351995232371, 0.8497320557909541, -0.1722345711165259, -0.4665603522644618, 0.577033726417108, -1.0836164517451374, -0.42024868514887487, -0.26094160716416975, -0.14639186185066877, -0.41922086859504926, 0.8288024957754812, -1.1518546580646116, 0.5862931858605012, -0.05626346330719634, -0.20639343520334885, 0.5574230314015503, -0.12258506084527454, 1.7227096562926933, -2.0285244211515288, 0.4331093388380973, 1.3317994466364005, 0.07343833929831911, 0.0833727402208051, 0.5288880046732058, 0.5206340420327766, 0.7511672379068339, 1.305178337773643, -0.4562920244128077, -2.1501962524561207]",2967.5469687024465,30,50,0.2
"[1.7946128037701605, 0.026778196376386343, -1.639458104464469, -1.946183564170469, -0.9532355304032836, 1.8102335131722027, 0.9688387814611574, 1.2584856777592797, 0.8103684284482462, -0.5722073062947657, 1.2783526781751924, 0.2115673851075246, -0.9999672077703953, -0.5211511235018307, 1.7557669204269677, 2.425864632159276, 0.27856728599208663, 1.177506813451588, -0.4678160641283038, -0.2170968081426108, 0.5116153996961754, 0.5139315576311436, -0.7870982596647401, 0.015636998200688534, -0.09309843057451417, 1.1015214766463168, 0.683115887926623, -0.3112581820752186, 0.9561016789494953, 0.925804990359218]",6088.811375976375,30,50,0.3
