Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[0.000267914655646758, 2.4102982381394786e-05]","(1.4355492696793704e-05,)",2,4,0.4,0.2
"[4.38585063374755e-05, 9.820063003318358e-05]","(2.2947877909018644e-06,)",2,8,0.4,0.2
"[-0.001229647154925911, -5.0927461669209354e-05]","(0.0003004882768653516,)",2,16,0.4,0.2
"[0.00046041778428780036, -0.00020930423848143577, -0.00030750267142022267, -0.00017596202171031496, -0.0005073840685485302]","(0.00012672324711715532,)",5,4,0.4,0.2
"[-0.00010430146301641623, 0.00017931304038887818, -0.00021339894496360656, 0.0011654689314042344, -0.0005760683981911171]","(0.00035288740510353023,)",5,8,0.4,0.2
"[-9.403016880355798e-05, -0.0002450283551955583, -0.00041075635563952404, 0.0005444279941339107, -7.741573237249333e-05]","(0.00010713093290526388,)",5,16,0.4,0.2
"[0.001250015027983187, -0.01193738662994894, -0.02947493482296159, -0.0047314533182302165, 1.0156146105827062, 0.9973921979187212, -0.0019221859071206536, 0.006277677474505557, 0.016087054640996468, -0.01576835105754785]","(2.389709966824059,)",10,4,0.4,0.2
"[-0.9805004582427459, -0.0031737618423398183, 0.0026443664320770295, 0.010519777045859484, 0.0014694004020059485, -0.013086025762506285, 0.0020252888501303967, 0.002760967914312678, 0.030762588665246143, -0.003465942868082994]","(1.2879317965584356,)",10,8,0.4,0.2
"[0.01446829891403648, -0.0007504993064416446, 0.0017402025405773968, -0.019597928625227117, 0.0031300620567644485, -0.010792118833593784, -0.006926137246501509, 0.0013277741793824615, 0.9982521978577102, -0.007351013323755772]","(1.161052348041414,)",10,16,0.4,0.2
"[-0.005244870939903713, -0.00164806880475378, -0.9991038849130874, 0.9953659474156868, -0.037963759891919344, 0.012332258950652326, -0.9847645415385569, -0.0003362427277862068, 0.027496619107731726, -0.9891604610016009, 1.005749765019702, -0.9969159856515439, 0.0048508129241671555, -0.01905151071283885, 0.0049721119259220625, -0.0017519332488382666, 0.9973381813869014, -1.0075148863563537, 0.9985844137085413, 2.014716884784154]","(13.698480047039505,)",20,4,0.4,0.2
"[-1.9783163506803934, 0.9957010801394504, 2.041116594745283, 0.012886630499832546, 0.9924499012086605, 0.9720662920424518, 0.009632282392026126, 0.013677370107200111, 1.004455982470072, 0.008014597039780011, 1.0110822041456151, 0.018231656192188042, 0.9478437493093174, -0.9973465857914346, 1.0009064574578146, -0.003105831980671308, -0.029485827775389883, 0.9999484734791619, 0.02191185441071314, -1.9760896636719139]","(22.535758347326922,)",20,8,0.4,0.2
"[0.9893831137896392, 0.999394285868817, 0.9856445876590864, 0.9796394674328077, 0.9990796081658135, -0.9912081247460159, -0.9902256044706288, 1.0250680772650043, -0.0009279603086598948, -0.006740979338237904, -0.0015115802470392348, -0.0032588464021563006, -0.02532407105693788, 0.003200000830442598, -0.0027208853421547153, 0.9844408255248112, 1.0423216848343848, 0.022708108182575314, -0.06741551072411367, -0.01257692190636972]","(11.842378527133892,)",20,16,0.4,0.2
"[0.006176427180798638, 0.01987628945140063, -0.021897079201979308, -0.003498672497231098, 0.0036394819003300032, 1.005921087306794, 0.014734961749596764, 0.04670010887801211, 1.991645496449462, 2.024517290200925, -1.0273999768074191, 0.027532586212694277, -0.9758357451080855, -0.018620475210657378, -0.003973858696595996, 0.002539838135301231, 0.9563957181763882, -0.05632919862004204, 0.9868374495307817, -1.9888702263591305, 0.01751896412727716, 0.962719240643891, -0.9739228071235035, 1.9199320270092173, -0.034761640592301433, 1.9861998900334246, -1.9885172649972658, -0.9871350286692965, -0.036120004032508334, 0.021955619701314603]","(36.09754980439213,)",30,4,0.4,0.2
"[-0.9602176131695663, -0.012955538622661855, -1.0595034778453511, -1.0145620164806548, 0.03716732349652583, 0.00828303341353813, 0.023507892346597004, -0.9981073122201445, -0.9846003430840093, -2.0037371224188645, -0.9813974923390795, -1.0963237770114371, -0.005612862444392769, -1.0285093470788498, -0.8971598193718158, 0.022156137161873146, 1.0059850945375874, -2.0102355882885146, -1.0137604727153173, -0.9887705414135032, 0.018556855455226895, 2.008544336133717, -0.9665749605100157, -0.002195190778694567, 0.022014781048624255, 1.0051599316315816, 1.0064575841999392, 0.9926231286219999, 0.960854090554079, 0.9925451206132448]","(36.498459806438746,)",30,8,0.4,0.2
"[-0.024527616408698855, -2.969997453292748, 0.05980658200422918, -1.9703749907054504, -0.018691879897705155, -1.0177995303012453, -0.9956145088573014, -0.9927131780999635, -1.984625956627992, -0.9478334605007358, 3.031118115283423, -0.983984325776663, 0.02543896972428318, -1.006677513111727, 1.002801145683477, 0.02727612413736291, -0.8443361263738294, -0.982809437900348, -1.9594775767218282, -0.9699182629139489, 0.051242307039018206, 0.012304242857368308, -0.006219740526650329, -0.9905192177311783, 1.006497612575847, 2.0026845339617054, -0.014322279816107772, -1.027842977415171, 1.9714541017559712, 0.00639920995620713]","(58.47320409785231,)",30,16,0.4,0.2
