Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[-0.0004808262145603486, -1.6771948708957265e-05]","(4.592280300208529e-05,)",2,4,0.4,0.2
"[-0.00014856122542924132, -0.00011530111238348322]","(7.016092952838449e-06,)",2,8,0.4,0.2
"[-0.0004723105781451375, 0.0005012714074453691]","(9.410727437320077e-05,)",2,16,0.4,0.2
"[3.0237628696611063e-05, -0.002702018714585641, 3.368989960475608e-05, 0.0002915846488779308, 0.0003148574946548969]","(0.0014853490198944996,)",5,4,0.4,0.2
"[0.0023317389938920094, 0.001213748819287772, -0.001044584042567092, -0.00043757676338556034, -0.0018433141552455182]","(0.002299460238681661,)",5,8,0.4,0.2
"[-0.9958338129100934, -0.0008857442317907372, 0.0054655717489178295, -0.0003414394861109701, 0.00010426282159991916]","(1.0012177596533007,)",5,16,0.4,0.2
"[0.0026388105435525364, 0.00039347198061179256, 0.005254890182194112, 1.0087855885818462, -0.9923071911835857, 0.9938861475034786, 0.0037859561159208077, 0.004587777475533739, 0.00608114918250046, 0.9940243451952205]","(4.04079726540882,)",10,4,0.4,0.2
"[-0.9941327957046668, 0.017252771963404356, -1.000569477682937, -0.007479065480451033, 0.05307104659027784, 0.0011755826275182887, 0.0033874758032821015, 0.0008671657081724543, 1.9885744741323816, 2.8469740496686255e-05]","(6.60291979423851,)",10,8,0.4,0.2
"[0.0046773481010708995, 0.003441190357295225, -1.9968408878770167, -0.012922551126356773, -0.0011306803532089016, 0.9988178104938108, -0.0004392195528657439, -0.0025012347777814, 0.0017850614210625712, 0.9800998221587818]","(6.0678871523429425,)",10,16,0.4,0.2
"[-2.0012226701135356, 0.9963911298077495, 0.009096810272371993, 1.0110775465235036, -0.004138323075799394, 0.9952681508178856, 1.000589273553557, -0.9901151054011539, 1.0204968609289926, -0.04063407705815136, -1.9833591622095683, 0.03002720254796499, -0.018070511323885263, 1.9633549414584726, 0.010788367016765579, 0.03500701210669398, 1.0159551744580453, 1.0112969462034083, 0.967478253327062, -0.01870509080735107]","(22.471681341373788,)",20,4,0.4,0.2
"[0.010389844241896207, -0.041787927082286014, 1.0133267341944474, -1.9457628341215887, -0.03839709577092634, -0.02274050786487361, 1.020370786888824, -0.0010570259578476723, -0.034951907096146095, -1.9760524672472792, -0.006350152258846232, -0.9910041076587862, -0.013019130691476644, -0.9875657716090996, 1.9968469462512752, 2.982860171581929, 1.022165046283446, -0.017952728614132624, -0.9834151129462939, -2.978120840468653]","(37.74526615865976,)",20,8,0.4,0.2
"[-1.011669408912383, -0.018202268683202474, -1.949962718355738, 0.9992961957740002, 0.015613971623201467, 1.997764855091308, -1.0013838406989557, -0.9575376736667597, 2.0235436247092067, -0.9707283884435263, -1.0037716705483068, -0.000700848353845096, -0.9686628837812493, -0.009039282158319659, -0.0023817907176405806, -0.9945650735096515, -0.9929476235271448, -1.0119631364781134, -0.000400521067431092, -1.978493650699088]","(27.24433082329525,)",20,16,0.4,0.2
"[2.935037449905381, 0.9510950233348126, 0.009620100976011126, 0.0401533322481189, 1.062304886024008, 1.007279279033833, 0.03786493209323866, -1.0205916541222109, -1.0587452018564543, 2.0806011317564117, -0.9884686110507178, 0.9246983138246199, 1.03115673867888, -2.977523909376451, -2.0052929746369013, 0.006042375313720941, -3.06037304375084, -2.0468917252979426, -0.042328843870273226, 2.008558027510528, -1.0378110961826734, 0.024563822701839655, 3.0738561274710086, 1.0229121198622275, -0.0428013642043001, 1.984106198326277, -0.04512831041407672, 0.964653275106351, -1.0193477388220031, -2.018144028099306]","(83.46167487994697,)",30,4,0.4,0.2
"[2.9432973248536616, 0.9677589010649166, -1.0258329379328073, 0.02262610612344318, -0.05951070496701094, 0.8795493897065931, 2.047752314676262, -0.03952641435691273, -3.0461617301481922, -0.04217737928248293, -0.9510698062131162, -1.9905374770257398, -1.9606394728161969, -1.066269340804833, -0.004728284599784832, -0.020402224955441056, 0.000482885383529804, 0.10461166928843563, -1.9949882956731608, 0.03599293679149773, -0.057421053522941246, -2.0006020569962857, 2.01932210433221, -1.9927415333822494, 2.0274539297388294, -1.0055414545098507, -1.0410860440310084, -1.9902294678644394, 1.0866588060155007, -0.05301622378744614]","(75.45932602923531,)",30,8,0.4,0.2
"[-0.9993377594819188, 0.9423090415956075, -0.018725251927852682, -0.9692233972179516, -0.9567506091507028, -1.9917786599866159, -0.010691145311376271, -0.9678799450607414, -1.9512639558163514, -0.021031018265258786, 0.9916862425468402, -1.9523682386889067, -0.9761843603644172, -0.989691297521108, -1.0124334894768467, 1.8795123783007344, 0.037996363895627855, 1.0254245634000136, -3.9820586118884, 2.9581218065403654, 0.009887397631237027, -2.9995316674511097, -0.006032582865154644, 0.013147482162299662, -1.003922334665136, -2.9635062798069125, 1.9853490517513077, -1.0262665643737487, 0.09399058721796005, 1.0369271549144246]","(82.96590564177532,)",30,16,0.4,0.2
