Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[-0.00018413013210399394, 1.5277047599983792e-05]","(1.245926352311244e-06,)",2,4,0.1,0.2
"[-0.000342284768737472, 0.0005386672900941267]","(1.7051948091761915e-05,)",2,4,0.4,0.2
"[0.00010594799271764735, -0.00018918461691199665]","(0.0001169160866911767,)",2,4,0.8,0.2
"[-0.0007817815262195022, -9.357021390790188e-05, -0.9953013305767398, 0.9944868095086131, -0.00012120944811040452]","(0.9950756791610722,)",5,4,0.1,0.2
"[-0.0005544561192500691, 0.0005423355129835143, 0.00032015233077186886, 0.0009898061420021325, 0.0001946521710047198]","(0.0003415615011963524,)",5,4,0.4,0.2
"[-0.002536494411975873, -0.001088069198771734, 0.002930275201499516, 1.5838385515224568e-05, 0.002810657159192244]","(0.004781977435484919,)",5,4,0.8,0.2
"[-0.0002608595986335685, 0.9944650711914803, -0.0008618465533003147, -0.9946726875532396, -0.0010996555394033347, 0.9938031140440565, 0.0003363050510660909, -0.0015345086674464314, 0.9953670746368996, 0.0025474421635649893]","(19.90021422657243,)",10,4,0.1,0.2
"[-0.0018272508322872026, 0.005520067537848569, -0.0032314893956936486, 0.9939480143870163, 0.007922020361501646, 0.9958194564061318, -0.005526491136534177, 0.9956210756743147, -0.002483702258275138, 0.006559718892633451]","(1.1200163778011447,)",10,4,0.4,0.2
"[-0.00015578148712725587, 0.036041610806803584, 0.005946432677070179, 0.0007898407669902144, -0.009860162778782239, -0.0265108629511656, 0.00730059086219827, -0.01793399328058165, -0.003748238673080653, 0.014758366861536528]","(0.09252792502887708,)",10,4,0.8,0.2
"[-0.9862045666033715, 1.9882861952665332, 0.9906699425202291, -0.00040708894430108427, 0.9919653799744956, 0.9898519380648911, 0.008231641161498333, -0.9974064468300528, 0.0011468925926962775, 1.9879305304967345, 0.9944280284602497, 0.9961357992146531, 0.9948001757492309, -0.0020691577951633695, 0.9964107109051306, 0.00015783040039981202, 8.74129138766569e-05, 0.9903986310941179, 0.9932632386864636, 1.9976120609201562]","(19.02743988241196,)",20,4,0.1,0.2
"[-0.03672814286917771, -1.0237371015872254, -0.9822958119496767, -2.0028230241529252, -0.018031787423430604, -0.9727750735538425, 1.046066117978497, 0.023094248862975147, -0.0035067684363789403, 1.0088450565399611, -0.0010242329974016993, 0.9714043639570649, -0.9711597419283174, 0.9907246542539615, -0.9877122548234282, -0.013508694674874176, -0.981407158161729, 0.00026960049225058236, -0.9973449123418975, 0.03058081549235586]","(16.737397170491235,)",20,4,0.4,0.2
"[-0.05946814682404464, 1.002308519924856, 0.055638873213532655, 0.04165115051827964, -0.02300802637839372, 0.006848514853568521, 0.06252909328574754, 0.9670577985014851, 0.004921380827258751, -0.9546396121563177, -1.0126460232236023, 0.009559541220901635, -0.04108024354081586, -0.054121490238405984, 0.042178630732187805, 2.0013848559012817, -0.002755931736534961, -1.0362226087145539, -0.014313794015676742, -0.029790258534764025]","(11.433621790253262,)",20,4,0.8,0.2
"[-0.011389765605683014, -0.9941172032173748, 1.9899858868522318, 1.9863855619455006, 2.9854538932701495, 0.005873802884713217, -0.0076256915769136804, 0.008246299828710713, 2.988412655079731, 0.028272265155494143, -0.01261207875766944, -1.9987305570058604, 0.9833441653704097, -0.9963017582804556, 0.9978145115244549, -0.004330315974967459, 0.004187543088255058, -0.005955257797867064, -0.007170734967029726, 0.017670658124529937, -0.003653475274328008, 1.001517984577929, -0.03521317503298437, -0.0036537802415404948, -0.0005177803569129599, 0.0011601893424445994, 0.005769906563233682, -0.004476130469521174, 0.986397673197072, -1.9865227334593847]","(40.46770137158724,)",30,4,0.1,0.2
"[-0.9791507025774899, 0.028843928321827583, 1.0254458059300826, 0.02424688715537003, -0.05592568645545295, 1.0531373432633337, 0.06347946915639016, -0.044325530004847735, 2.000093663714538, -0.986180995093944, -2.965420741844517, -1.998144943138183, -0.9872775406009335, -0.01573461959048339, 0.023100243678487925, -0.03717643739392558, -0.06124852565381478, 0.0034469109029341416, 2.996966420810082, -0.04788189139122134, -0.0005330104340775818, -1.0514902181604247, -0.02747718348512196, -1.9780810803760043, 0.008959112532207401, 1.9938272934439036, 0.9854181971169143, 0.017295023454088287, 1.0212540286637122, -0.9964219278362022]","(48.57568707870356,)",30,4,0.4,0.2
"[-0.01622867547913296, 0.005775601379148239, -1.117084408474424, 0.06007995447918546, 1.0055574277194315, -0.055693908603757, -1.0179796236771999, -0.9892097425187081, 0.9957207292406012, -0.02296940010753007, -0.032944730533153666, 0.027361722755929407, -0.0011242423005539681, -1.0189035128764972, -0.024887135073232924, -1.0436059139942577, 1.0639140249718533, 0.9512761554654734, 0.01937758357645484, 0.012652548900271565, -0.9916520362657, -0.018699649371122673, -1.0157089713919127, 0.11565032819737597, -0.0020761509110291954, 0.02724533390017808, 0.04301908254359407, -0.03798205694376744, -0.04403078083445205, 0.018386047387386917]","(21.82072334274217,)",30,4,0.8,0.2
