Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[4.5869039155655176e-05, -5.252206078267137e-05]","(9.646885885672418e-07,)",2,4,0.1,0.2
"[0.000666953916235823, 6.0413986013744874e-05]","(8.897423456666331e-05,)",2,4,0.4,0.2
"[0.00010594799271764735, -0.00018918461691199665]","(9.327561111049931e-06,)",2,4,0.8,0.2
"[-0.0007817815262195022, -9.357021390790188e-05, -0.9953013305767398, 0.9944868095086131, -0.00012120944811040452]","(1.9901114501081487,)",5,4,0.1,0.2
"[0.0036933324237113756, -0.0027112378617113425, -0.0011742782553675378, -0.004696012319198153, 0.001045363333044308]","(0.0090294930846202,)",5,4,0.4,0.2
"[-0.004780704320865945, -0.0010484234961698393, 0.004026230246314891, -0.0018867834625798836, -0.0044720695360975175]","(0.012641601153374538,)",5,4,0.8,0.2
"[0.00037979172769652715, 0.003244261283797549, -0.9970142745314492, -0.0005765490768082204, 0.00018505859238850206, -1.9895987015874013, 0.994846115557791, -0.9945358962826595, -0.9948607215446024, 0.9937131811849431]","(8.958020770603378,)",10,4,0.1,0.2
"[-0.0018272508322872026, 0.005520067537848569, -0.0032314893956936486, 0.9939480143870163, 0.007922020361501646, 0.9958194564061318, -0.005526491136534177, 0.9956210756743147, -0.002483702258275138, 0.006559718892633451]","(3.022358641313188,)",10,4,0.4,0.2
"[-0.015326637204569837, 0.012990386676110077, 0.003236892420768878, -0.9886420952654552, 0.007595045062263411, -0.0014516090238017726, -0.0039429407793361015, 0.015460897346833313, -0.011429903353614483, -1.5840820177331905e-05]","(1.1732109125734667,)",10,4,0.8,0.2
"[0.9893628950169829, -0.010373280997249433, -1.0001434837369017, -0.999867989145035, 1.9785286914455553, -1.9951434028769641, 0.9971566888918306, -4.377872125319732e-05, 2.007951871307995, 0.0036157126074093087, 0.9928800578668068, 0.0061202464429343986, 0.000854719214772652, 0.010677376038663793, -2.984809081022851, -1.9914425302824554, -0.9906409130144126, -0.0021621345894704577, 0.9978612689297963, -0.01142292306686727]","(32.039073291316846,)",20,4,0.1,0.2
"[0.9862686640057462, 1.9677776021672553, 1.9226715251164326, 1.9805475454946282, 0.9932587857470551, -0.025593277763026057, -0.013187148792526512, 0.007875266430563577, 0.02443176408147707, -0.0017659425564031384, 1.004424924625827, -1.999035614996917, 1.010289758634761, 1.9936398771953627, 1.0154928129309817, 0.995323305711974, 0.005004966746303373, 0.00297477415492417, -0.0014758756612056334, -1.9772350315857412]","(31.35376955760185,)",20,4,0.4,0.2
"[0.003238367423614173, -0.08353700323347035, 0.9953942503138009, -0.0023001963753965793, -0.003703575465918374, -1.0280706641918322, 0.008996255097523623, 0.01735340056468837, -0.033147817565376214, -0.012601002413425107, -0.02204021033614678, 0.03253038380016392, 0.9900149110574701, -0.01980768939058919, -0.058594365741772084, -0.008015289461700024, -0.029276956473808985, -0.06062467089230039, -0.04303806920133173, 0.06916797014953613]","(8.14934826302454,)",20,4,0.8,0.2
"[0.9900055421979554, 0.006523082142864595, -0.002046247892621249, -0.9996090283158525, 0.9939823792593439, 2.9654027791537443, -0.9853912811859037, -1.9826170466814808, 1.9788513942662407, 1.9860131067869067, -1.0077035790565771, -2.989307156910977, -1.9817910975346096, -0.9783427213708527, 0.9844248524244584, -1.992138023585525, 2.988646321130106, 0.9904793054477022, 0.0028557992768487236, 1.9934800852055226, 2.968905936025871, 0.014107379434442131, -0.0010945944327891768, 1.0059574036012062, 1.9784251866365243, 0.9914110480424212, -1.9796989663024518, -0.001816401513489288, 1.994617781316522, 0.9951896447010872]","(83.03595329466228,)",30,4,0.1,0.2
"[0.009903456161808315, -1.0286858422621383, 0.9678675692946843, 0.002807964640754404, 0.0012015974170284747, 2.959496243598361, 0.9978108048200971, -1.036642723971004, -2.942494800531925, -1.0086475214698847, -2.0039023385871095, 0.9385353992495649, 0.008461976899041934, -0.0014249025692052442, -1.9668684412049804, -1.9898128246759115, -3.0682309237385472, 0.011521237969435147, -0.9063492316154494, 1.0073178218277252, 1.0479961763930798, 0.9905567850242294, 2.008094469603826, -0.05573406284170923, -0.01848836283179145, 3.01600839393877, 1.9162833010589417, -0.9803210771919327, 1.0128998657069224, 0.9609565542022998]","(76.48332895024674,)",30,4,0.4,0.2
"[0.032567610063586855, 1.0441204756843059, -0.9718883729892289, 0.9463933570291441, -0.98927340594439, 0.9702999899651406, 0.062141531055920574, -1.0018534545199653, -2.061159054567041, 0.05001503052091105, 0.004044919237107258, -0.05189513064366935, 1.91847749488577, -0.9827991543525068, 0.984818004532277, -1.012010209844484, 0.04120828053398806, 0.07157593162749021, -0.9852007805192919, -0.9605001712110127, -0.06297910782283311, 0.9681022395822676, 0.058579625190451956, 0.043764387703784435, 0.0060517544552800145, -0.0064838637444464275, 1.9876166543982705, 2.954547422175305, 1.0401210394387297, 0.04097253619407448]","(43.57779503277866,)",30,4,0.8,0.2
