Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[0.00018308993319631666, 0.0008429154342311216]","(0.0001476090099217231,)",2,4,0.4,0.05
"[0.0012076176522131526, -0.0005429025744291504]","(0.00034779647821991944,)",2,4,0.4,0.1
"[0.0002969570976550915, -0.00022798561705576195]","(2.7806818597042593e-05,)",2,4,0.4,0.2
"[-0.017063598407816682, -0.0011265364291279628, 0.0009540656071669318, -0.0008385518194809621, -0.0019146392065563234]","(0.059009202862613463,)",5,4,0.4,0.05
"[0.0008136208172690885, -0.0023001367130181093, -0.0011608907393510677, -0.0012473867526473451, -0.0011750002609275429]","(0.002030892429226938,)",5,4,0.4,0.1
"[-9.884777664874358e-05, 0.0002905463455348616, 0.0011634558371436676, 0.0004844541400413401, 0.0004000366164708696]","(0.00036554463764382206,)",5,4,0.4,0.2
"[1.0084976236245908, 0.00011316848551619352, 1.0154563737019808, 1.0162637427362036, 1.0023528784050848, -0.07177133705072247, -1.946668112392379, -0.9937045002232336, 0.9889309426690271, -0.06179117202140083]","(12.296407024661887,)",10,4,0.4,0.05
"[0.028528599217217177, -0.0033371904456633433, 0.009561130940594964, 1.002475970427373, -0.9868378251911731, -2.008268570935451, -1.0022764883675803, -1.0064093803329697, 1.0116366642219823, -1.0030457882992165]","(10.326814149249618,)",10,4,0.4,0.1
"[0.000622433887675241, -0.0002267024935383409, 0.9857612224157153, -0.008037246743364517, -0.011947759759734208, 0.00039154727778937127, -0.0020119924107862668, 0.0001502450487744205, 0.0006427596848467649, 0.0004256460013090241]","(1.053881210726285,)",10,4,0.4,0.2
"[-0.06759490943005886, -0.004877195979649862, 0.015057265056483082, -0.9717426376095739, -1.0456884942864408, 1.0068142379814804, 0.024071605846534894, -0.9108714003834688, 1.0787178466095717, 0.012775380204695708, -1.0738979322331352, -1.9880518811485794, -1.9958395412928713, -0.053207043532778275, 0.9341476325546768, -0.006934008393272045, -0.04042455021125235, 0.021629558131414872, 1.96191845661156, -0.07001538720215628]","(27.403972967367608,)",20,4,0.4,0.05
"[-0.09541133716010475, -2.000133514225964, -0.008295082936893523, 0.9583205983922553, -0.056031858269217374, -0.9888285329706337, -0.8606206356495285, -0.05972396450612116, -0.029203341216740064, 0.9639831431878743, 0.005468285995252842, -0.9899471645465392, 0.020681002109856676, -2.0916315049053424, 0.06191881093876036, 0.009412126963819684, -0.016079327336412375, -0.9992273113176298, -0.9360522476492097, 0.9748238952946757]","(26.677942067656602,)",20,4,0.4,0.1
"[1.0280144197433314, -0.9824387402734213, 0.0493872436154692, 1.0097657685611472, 0.9949937690266841, 0.028201138125813374, 1.0057932601355173, -0.9998009913174167, -0.017271355748603556, 1.014996602064008, -0.04487579236207921, -0.007502610510292607, -1.0003334909091746, 1.007112928244486, -0.014903340292471902, -0.034585912226578475, 1.0052092873993104, 1.0813887089419478, 1.9866179806366246, -0.029639554319707495]","(18.393416423142874,)",20,4,0.4,0.2
"[-1.0333834093084993, -1.8404742577491766, 1.069071084742074, -0.0032900724212927557, -0.8402139438447245, 0.9159075805270069, 0.04204978101180323, 2.039391082786488, -1.0204016869531392, -1.0357609543859105, 0.0451172790821559, -0.05414393226705452, 1.9521762719459126, -1.8529197862895344, 0.10548141960938295, -1.8648933602186033, -1.1620525203060716, -1.07732616677393, -0.9640861055945882, -1.109809498435049, -1.1163307137644216, 2.014768655535754, -1.0775277515132409, 0.0028451702728720107, -1.0197017168647342, -0.8387278772864759, 0.05436963077781343, -1.8643044242426718, 1.0583705761007662, 3.999625516923322]","(102.94178785880189,)",30,4,0.4,0.05
"[1.0861220136536187, 0.0021796184749444114, 0.023491450196683042, 1.1522223978700663, 0.06867032500446116, 1.0097085722462849, 1.9724104290721856, 0.1082686217466382, 0.9163400883102786, 0.10580400315875416, -0.010383796915428456, 0.9323414894070932, -1.1380812572476373, -1.0777074965598499, -0.9856213719632112, -0.02381816258716022, -0.027642408807507124, 0.933951468533289, 1.059815368217877, 1.0579919068526422, -0.8793708724097185, -1.968103543846663, -0.019140283141317715, 1.958478159851672, 0.05423404430958418, 3.0314349583452986, 0.9343678522320165, 0.9775926517483562, -0.13402169057520563, 0.9610060451097093]","(65.52256787922083,)",30,4,0.4,0.1
"[-2.0639686004290336, 2.0198287767996232, 0.017605209698423364, -0.013961453837583349, 0.011989550887384265, -0.024675168754130353, 1.9863469257126878, -1.9446578512785144, 0.020852676229876944, 0.027905504032553874, -1.9610163384840409, -1.0139629018523686, 0.005727737412332526, -2.009954849152276, 1.0252408649258176, 0.012634047628118594, -0.959136637309021, -0.03839984547847861, -0.9813303287654459, -1.0026241702934364, 1.0666343284553141, 2.0013456096386237, -0.9560763635443917, -2.0065388689700026, 0.9639419336023682, -0.02011658560609949, 0.973245824941712, 0.008077048119768726, -1.0366186754847018, 0.9778910373753835]","(48.21915001395601,)",30,4,0.4,0.2
