Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[-4.612106963263959e-06, 6.00372111687307e-05]","(7.193177733455514e-07,)",2,4,0.4,0.05
"[-0.00047133045541307905, -0.00024992542154614675]","(5.6465352272994096e-05,)",2,4,0.4,0.1
"[0.0001708593511678746, -9.145674291921401e-05]","(7.451061383889623e-06,)",2,4,0.4,0.2
"[0.9851835636365138, -0.008935554904441756, -0.0018116929032045148, -0.0019143399071550188, -0.008969255797837049]","(1.047058679648174,)",5,4,0.4,0.05
"[-0.003472616220733568, 0.002911157428694176, 0.009123856209335531, 0.002643030437372386, -0.009120500320418978]","(0.038468541490246366,)",5,4,0.4,0.1
"[-0.00013487586685798547, 0.0033962710869024984, -6.838867046783117e-05, -0.0058100175204275715, -0.0020636755977229727]","(0.00983397079629178,)",5,4,0.4,0.2
"[0.04923310486962862, -0.042019195712950624, 0.04250312370047915, 0.034781058247708926, -0.01285799694237963, -0.9963053193024816, 1.0186002426840366, 2.0331764835771775, 1.0331238058482088, 0.02358167773239668]","(9.298089340311531,)",10,4,0.4,0.05
"[0.017993870749138784, -1.032780805419486, 0.010244820845243585, -1.9791415860062773, -0.03102796362967175, 0.0210458181965327, -1.01479503412099, 1.0094103894697664, -0.9960052517864157, 0.00768741667781269]","(8.760154221101658,)",10,4,0.4,0.1
"[-0.0007598071361308335, 1.9779254009885794, -0.0014050521081848608, 0.9920759276869475, -0.9938545114916753, -0.007061218096093783, -1.0021282375410128, -0.0011395971639043818, -0.014431848001376958, 0.003619541659531045]","(7.05972976692375,)",10,4,0.4,0.2
"[1.956482315232396, -0.8978187679044546, -1.9903510981049433, -1.9743554303493662, -1.0008438507103747, -2.9834379826576987, -1.016294527919573, 0.9599038741578267, 0.030644792124447484, 0.89190677589132, 0.11171516903137624, 0.020094955772804887, -0.9700050262299085, -1.8058922099389139, 0.08611182903220627, 0.9252163103024431, -1.0695772191664423, 1.981626095850957, -1.0728604017301069, -2.094458836635139]","(61.61013958979686,)",20,4,0.4,0.05
"[-1.9964865385293205, -1.8948147819348815, -0.03085906340915745, -1.0714302964849454, -1.9251838713323046, -0.04178250512810244, -0.05210376175628717, -1.1154351103890134, 0.9676702976608755, -1.0515177446129185, 2.0688137965014795, 1.0036108576801763, 1.9761675213533862, 0.09107260255509075, 2.1572173071486542, 0.9376782147941767, -0.0019090880933814725, -1.0170313598826675, 1.9831772405630836, 0.06569576388152064]","(52.74689984865321,)",20,4,0.4,0.1
"[-0.013491215546578506, -0.9969188004508932, 0.008432900198082896, -0.01145008731176489, 1.116287786625186, -3.4891780428480956e-05, -2.0205945503704785, -0.0023868932282988843, 1.0232887000186015, 0.016358797946018855, -1.053772387997284, -0.0021056436722485597, -0.996750274106897, -0.0012719862015286298, 2.003580711227633, -0.9865739892574237, 1.9885673538765618, -1.0096182639958395, 2.0041977260564114, -1.9649312052775751]","(31.084348217019215,)",20,4,0.4,0.2
"[0.009636184120356155, 1.9912607935257047, -3.0032865557140873, 1.979308748087245, 0.9192682183820803, -2.0038323508192906, -1.9815034170440042, -0.011659138161239271, 1.0886540130385658, -0.12837310941890046, 1.0988212048678094, 2.8982885770634326, -0.03887602796304407, 0.1438112015294548, 0.8982898789626095, 0.9600278416212102, 1.7952898205639256, 1.9546129022041123, -1.0278034953115647, -2.9257611478731897, 0.057452469970980524, -0.021569642704193842, -0.039765158486248176, 0.02849268017737039, -2.1395391929478738, -0.9642223654096218, 0.9287391897839603, 0.998842287648392, 0.014595575420828805, 1.0261867410037127]","(94.68265862914545,)",30,4,0.4,0.05
"[2.86784601458279, -0.9565047651880327, 2.069153977659214, 0.9520967180364774, -0.015938142004164046, 1.9474197298437654, 0.9289351436538664, -0.022240832682109635, 1.0498214018710326, 1.0157330368052797, -0.0021235877733965514, -0.888263284945895, 1.044222427474958, -0.06442186269558431, -0.04016699183838757, 0.03201519917442586, -1.9342943539783128, 1.9101609826886128, -0.9928294356099654, 0.030831416725800587, 1.9288077231778509, -2.146122818021341, -2.0050242884467497, 0.9972317404867401, -0.06307211448582528, -3.071436340981778, 0.0021213831287123786, 1.9100922865089265, 1.0275963564946204, -0.11454331287271496]","(83.61522654154035,)",30,4,0.4,0.1
"[0.028902999221043224, -1.0603308041573922, 1.0088950735807147, 1.0118602597226183, 1.9964238513190067, -0.992313122607765, -0.06533324428088585, -1.0190758467454286, -0.9739519222555006, 1.971548605370815, -0.9778240792764763, -2.948511173129339, -0.9695961099229541, 0.03765227750391098, -2.071618986548376, 0.03810588449851096, 0.05916263766579055, 0.9559690000475987, 4.042630456532028, 0.9724601895753076, -0.032893543155286004, 0.012869344581494795, 1.0254109293374343, 1.98374455632505, 1.0022330887872468, 1.974141395332491, -0.04614838820134165, 3.960271771895723, -3.0260862992805744, -0.03906482312943005]","(89.6123723729002,)",30,4,0.4,0.2
