Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[0.9872714427878839, 0.9746254380273486]","(0.00016264761693598746,)",2,4,0.4,0.2
"[0.9856576875006291, 0.9713369713882135]","(0.00020909141284767397,)",2,8,0.4,0.2
"[0.989273301587727, 0.9789651106069059]","(0.00012426996824456266,)",2,16,0.4,0.2
"[0.5900675929578578, 0.3464379129646803, 0.12202526541499922, 0.020123783578836454, -0.0007397268470137651]","(0.07628150157624095,)",5,4,0.4,0.2
"[-0.9416228910930633, 0.8940204026076445, 0.7997947358365806, 0.641580447911536, 0.41119615292341344]","(0.6621915132481742,)",5,8,0.4,0.2
"[0.6218664128127215, 0.3836632514645886, 0.16151501902432766, 0.027656875835245454, 0.0017175971194538183]","(0.7220817647838278,)",5,16,0.4,0.2
"[-0.9386829693899168, 0.883038623295665, 0.7934926105756044, 0.6392227164404765, 0.42076919503466387, 0.18152124093571997, 0.03914205087591985, 0.0031809313820259574, 0.02586625291452341, -0.0014122777458455337]","(6.997281393431329,)",10,4,0.4,0.2
"[-0.758761444009338, 0.5841627307276848, 0.3512323195440715, 0.13944140690029155, 0.020570423752811016, 0.006110842045619912, 0.017302741085151736, 0.0063182721050819846, 0.01234004809659326, 0.001150062891359948]","(1.410414012436878,)",10,8,0.4,0.2
"[-0.7731872911269687, 0.6057858581510338, 0.3747263566137904, 0.1519804669568126, 0.03334658828658419, 0.0013664667922010936, 0.011321220808608423, 0.0084557034066459, 0.013190117374780687, -0.01256510418458276]","(0.5675637790094531,)",10,16,0.4,0.2
"[-0.8354135227570277, 0.7008770001059157, 0.5459808502336676, 0.26559020612681855, 0.07658674607699599, -0.008011850258469871, -0.007698088394116315, 0.1630127351094745, 0.07306307150600372, 0.021295230698074798, -0.0019464388678807343, -0.0010074310362114258, 0.023674119704052865, 0.0004201079614291267, 0.0296895241785875, 0.0245624600110943, 0.003517940157468369, -0.07954331913095877, 0.028259047846156245, 0.01510585327560817]","(15.56117005172666,)",20,4,0.4,0.2
"[-0.8309938310077828, 0.6784812849848717, 0.4885307407897798, 0.2943765611425603, 0.08118830736864002, 0.03628974778235225, 0.006909710627047594, -0.011016612558519712, -0.033640963049480666, 0.029083614550486317, 0.006982619744264763, 0.04233813797137439, 0.027646536105058683, 0.030422569905216745, 0.012371992705933362, 0.001327765406152294, -0.034913407401157226, 0.017245033891771865, 0.009150374561658292, -0.019050695231538198]","(13.19445365957879,)",20,8,0.4,0.2
"[-0.6884163184923544, 0.5090428716916293, 0.25326385165301496, 0.08026119339817062, 0.028616623923346823, 0.05125877780954868, -0.05506930232172866, -0.014487392393862673, 0.04486768307630348, 0.034222207579055475, 0.011840775113198546, -0.0008489578642412732, 0.029847247159145947, 0.00969263771943324, -0.011525250345986893, -0.0459898236288111, -0.015549155215815291, -0.029840417649173404, 0.014839880254086578, 0.06275669785668123]","(18.635278209536658,)",20,16,0.4,0.2
"[-0.8886650700600452, 0.8973109566532338, 0.862070051112139, 0.7206303895346899, 0.5554530150585562, 0.275905308882999, 0.08594883703991357, -0.05621837798546528, -0.009316510124684707, 0.05073886123604365, 0.04816050872994515, 0.03278704559904324, 0.4366754728989767, 0.6483493025744289, 0.749105371138629, 0.6761961415838821, 0.580032979921237, 0.8108791771648649, 0.8732981760129919, 0.8147945922806421, 0.6835763944381079, 0.6018834099488233, 0.6480940701549603, 0.5925491898790067, 0.4477671385305156, 0.18964419215911146, 0.04460656151731829, -0.012896514348698762, -0.037431096775746686, 0.01332685355983898]","(113.38586517579745,)",30,4,0.4,0.2
"[0.18328518609474373, 0.011416665424393069, 0.015078247353428165, -0.02286059301626897, 0.0063744244336999545, 0.012624500176937448, 0.062263455593618566, 0.0056029540316420365, 0.014482952070967276, 0.04575606736510829, 0.014364817004091035, -0.022573552824153964, -0.20097220973098084, -0.12487179086504624, 0.25662823974859195, 0.14273828419208223, 0.1491876211979744, -0.07749547809568286, 0.08281359633446339, -0.05249223378928396, 0.030105161924763285, 0.051010958490319266, 0.02812282767055184, 0.03052792728316564, 0.004073916091917144, 0.08871863802632121, 0.002230237311656773, 0.016864718336541743, -0.016264493248845574, 0.08498279612828546]","(29.66647705454314,)",30,8,0.4,0.2
"[0.1938127030380893, 0.04324542145684576, 0.04351522934342662, 0.06047729368563781, 0.01101614346876987, -0.08673554879480386, 0.07683222018374847, 0.030394284469033056, 0.028091322801856423, -0.04689549126733414, -0.03782896349710396, 0.018045339141659678, 0.020310787362351895, 0.003933785059890116, -0.012151564006757015, 0.006819211210286558, 0.029097562563366958, -0.02989824129751914, -0.0030670703251215042, 0.06394418944673197, -0.06325792363377569, 0.010022207998454782, -0.006263638777403713, -0.04822888563555707, 0.04435259300038196, 0.08550656683848601, 0.017168263990112703, 0.07906106046360756, 0.08544125356898702, -0.046667690644004445]","(33.94271137006602,)",30,16,0.4,0.2
