Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[1.0045377811602763, 1.0086343311133459]","(4.1919475255352884e-05,)",2,4,0.4,0.2
"[1.0097508112312281, 1.0196628948066484]","(9.55164845553262e-05,)",2,8,0.4,0.2
"[1.001400711808667, 1.0025160871708012]","(1.0216032939539122e-05,)",2,16,0.4,0.2
"[0.5900675929578578, 0.3464379129646803, 0.12202526541499922, 0.020123783578836454, -0.0007397268470137651]","(2.3297609456681974,)",5,4,0.4,0.2
"[-0.9416228910930633, 0.8940204026076445, 0.7997947358365806, 0.641580447911536, 0.41119615292341344]","(3.955514794859071,)",5,8,0.4,0.2
"[0.6218664128127215, 0.3836632514645886, 0.16151501902432766, 0.027656875835245454, 0.0017175971194538183]","(2.193133604150966,)",5,16,0.4,0.2
"[-0.9386829693899168, 0.883038623295665, 0.7934926105756044, 0.6392227164404765, 0.42076919503466387, 0.18152124093571997, 0.03914205087591985, 0.0031809313820259574, 0.02586625291452341, -0.0014122777458455337]","(7.932849320459223,)",10,4,0.4,0.2
"[-0.758761444009338, 0.5841627307276848, 0.3512323195440715, 0.13944140690029155, 0.020570423752811016, 0.006110842045619912, 0.017302741085151736, 0.0063182721050819846, 0.01234004809659326, 0.001150062891359948]","(9.398263416391714,)",10,8,0.4,0.2
"[-0.7731872911269687, 0.6057858581510338, 0.3747263566137904, 0.1519804669568126, 0.03334658828658419, 0.0013664667922010936, 0.011321220808608423, 0.0084557034066459, 0.013190117374780687, -0.01256510418458276]","(9.365243598291496,)",10,16,0.4,0.2
"[0.5776949972613329, 0.31522975086409466, 0.1402641133629106, 0.058237610125172236, 0.01057581736441884, 0.008844711475400141, -0.0110289810562101, 0.016021767071728643, 0.017075348521506828, 0.166631008639937, 0.50497224160625, 0.6459410095058655, 0.7008385267192203, 0.6966108166235494, 0.6108333361912747, 0.39580147824876, 0.20928696830896182, 0.005828663521521241, -0.057726167954104096, 0.005258980279721548]","(67.58515793694325,)",20,4,0.4,0.2
"[0.7052154145947324, 0.6069568237533425, 0.4993255544772197, 0.30681320483889185, 0.15658521906058032, 0.11945633649367936, 0.05786897421165657, 0.012912279596521345, -0.0909954154766972, 0.29518407295923543, 0.5897525871362518, 0.7512197720821346, 0.8058864227614354, 0.7657802561548352, 0.6442668906015518, 0.4656418321444734, 0.21913980398591135, 0.03852029384221507, -0.013287725123401517, 0.042071970272464315]","(72.62552918630571,)",20,8,0.4,0.2
"[0.7466199149275735, 0.6056680596178641, 0.35978712062947626, 0.14087643363059105, 0.010770000908969068, 0.020059171529309278, 0.29052488106070595, 0.5983863864328559, 0.7287139279734827, 0.7484546946803072, 0.7118883934923015, 0.7150955930572631, 0.7867251036814673, 0.7616773357010976, 0.7818565584256616, 0.7267190892259433, 0.6828732987362717, 0.5879723485374883, 0.4415540381106694, 0.20972669159615798]","(85.15457883460743,)",20,16,0.4,0.2
"[0.17696886118250352, 0.05596992496430109, 0.04783403307498113, 0.045091946324062715, -0.0025730463347644894, 0.004576896224569436, -0.025558891298012837, 0.3730553082221315, 0.6208653199058064, 0.7172953541354234, 0.8032375358041334, 0.78159120468654, 0.6910352482762466, 0.6827494046847873, 0.48125948899117127, 0.20083616129745646, -0.03887497402313422, -0.015324326494086049, 0.04650203765751709, -0.07427261745028158, 0.028361762042017485, 0.035691186915461165, -0.003401793990512658, 0.010355286047143697, 0.04765750272423466, -0.008652777153695751, -0.10816770448344915, 0.012002461436084355, -0.013878050933798375, -0.010731231516975942]","(88.27752618211314,)",30,4,0.4,0.2
"[0.8489443481706197, 0.8271787646690192, 0.6384265881759538, 0.4060254781699061, 0.23408634741870415, 0.1637805712565707, 0.005968289412787542, 0.08218193295944264, -0.03817606947881469, -0.08152384236397386, 0.012372433943821481, 0.03958024858878101, 0.02989302436397072, 0.028504526274031036, 0.01777992987492126, -0.02537572318942749, 0.03728806893726226, 0.025340711856647158, 0.19725890572295357, 0.5042526852425232, 0.7252349938153372, 0.7882528991932726, 0.8419963638426677, 0.8670654566188514, 0.8407067139770359, 0.7933224065796134, 0.8160477701816169, 0.6400651766860254, 0.48118576941389746, 0.27653885799074107]","(88.10457968731062,)",30,8,0.4,0.2
"[0.5457885200716095, 0.24584895242496707, 0.35683240224823554, 0.533299772231442, 0.6714307874365556, 0.6557901766371746, 0.495771652920181, 0.5365202225980559, 0.2986883449567771, 0.03032251200237379, 0.026715142569128048, 0.019928195202700512, -0.0341659744965605, 0.03606534836805343, 0.02916798288181019, 0.02134761215985803, -0.01745991419115317, 0.1705119393044181, 0.03452699347591626, 0.1071528109806042, 0.18519956507896418, 0.09219356475511398, -0.14494304163019855, -0.02037969959350272, 0.05605753727986926, 0.2421360143502144, 0.04917208066106549, 0.07630990061780363, -0.001767970127267704, 0.0007701843954053197]","(91.7993701027052,)",30,16,0.4,0.2
