Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[0.9761526849585992, 0.956480078877742]","(0.0004477391853859838,)",2,4,0.1,0.2
"[0.9149654563865939, 0.8373154891459486]","(0.00010755282564147702,)",2,4,0.4,0.2
"[0.9409741709076188, 0.8854131860368013]","(0.0013734235211519752,)",2,4,0.8,0.2
"[0.77490058598046, 0.5973697335406228, 0.36488884164297875, 0.13758318364273792, 0.012650110133780602]","(0.3507227222364295,)",5,4,0.1,0.2
"[-0.9383609086834157, 0.8933133596953677, 0.8027615719565345, 0.6451686958205061, 0.41558096485493534]","(1.0981658641629992,)",5,4,0.4,0.2
"[0.5368002839520005, 0.3029444588144798, 0.1038668750045191, 0.02081904870456691, 4.3978318192768213e-05]","(1.4439697278633066,)",5,4,0.8,0.2
"[0.5584111910468661, 0.32040611992760004, 0.10398648749198323, 0.020281081934439803, 0.009957753553311978, 0.011022469866761492, 0.01038908612486382, 0.010676638617475984, 0.009797993369451134, -0.0027025752683356476]","(5.988230833411153,)",10,4,0.1,0.2
"[-0.7006830274338379, 0.5023686336475714, 0.2588617788913341, 0.06923134566508549, 0.017259882874171982, 0.012037652393011763, 0.016642549837562054, 0.008220909638967464, 0.0011318047525484334, -0.0025485713983311314]","(6.4215525161274725,)",10,4,0.4,0.2
"[0.25174793836273646, 0.0487423990942822, -0.048887931339864917, -0.01044112580816392, 0.013004346222384857, 0.009978838287236464, 0.020926764017691835, 0.025651330174201237, 0.00977450269764344, -0.018813997399198198]","(4.890774478931154,)",10,4,0.8,0.2
"[-0.8260047033617435, 0.6909423728190309, 0.497090624705172, 0.26645134340686655, 0.07770542561563726, 0.019342734278645378, 0.016312945772276204, 0.013569180912648152, 0.0021504852593902182, 0.011965137605711244, 0.008245338632026237, 0.006140068314915301, 0.0055921824422137875, 0.010202101019567068, 0.011293124671713395, 0.007742376859888711, 0.01246459526562712, 0.007917821258611018, 0.008380675205151036, 0.0023907057721809268]","(17.664671137562365,)",20,4,0.1,0.2
"[-0.9886671434048192, 0.9720504462147986, 0.9527500720994732, 0.8759454246512246, 0.8253247692791104, 0.721151073821204, 0.508630810054791, 0.23982099107037255, 0.07677631975116796, 0.010712329539317333, 0.014438317056432046, 0.028362051294766953, 0.24236896087969018, 0.5319963276646916, 0.7301102843363934, 0.8376301905183585, 0.8014627054612715, 0.7269691163358203, 0.5376162841726827, 0.343141920171147]","(15.885078325528244,)",20,4,0.4,0.2
"[0.43296095795913775, 0.1973710781091067, 0.04678791331261748, 0.03719920069535612, 0.00015180402335877863, 0.053121273995615864, -0.010282424637797327, 0.06589605724332506, 0.02756716791983496, 0.07378045101475222, 0.04586130482204346, 0.017210978393176042, -0.006440488192524851, -0.06793055189455388, 0.12569819572562652, 0.055140239556959625, -0.046963309505369366, -0.021434732053469394, 0.013071300790500034, -0.01105786239902723]","(20.51724817616676,)",20,4,0.8,0.2
"[0.28156460515332365, 0.07594326387189328, 0.020823921119513943, 0.015685367894829542, 0.01816261075675559, 0.0010615338285331968, 0.02115720993000154, 0.015495492166707897, 0.0054608076773917155, 0.01107599440509853, 0.022363843827135604, 0.0072539547737715745, 0.0010360369961730787, -0.0013268146841419852, 0.010478446145715234, 0.001197807264527867, 0.013963827190258234, 0.011802040839684367, 0.01119167956579291, 0.011032898678936698, 0.011586531797393482, 0.014438692567809053, 0.018288108056376286, 0.012883959278207263, 0.014150119394832288, 0.01660961129442596, 0.011631458100311637, 0.02403920260125833, 0.014815718763620159, -0.007411033275433453]","(127.30718256133794,)",30,4,0.1,0.2
"[-0.501278532904387, 0.23393732978127835, 0.1072810337187782, 0.03298067800062057, 0.024840648114763303, 0.0768610973289163, 0.07856958833412073, -0.006615490972205262, 0.020612770481596293, 0.12799947715737664, 0.03712678023037197, -0.02968117029304633, 0.007581527551134781, -0.06952577725936968, 0.05944400782484335, 0.1136719019002134, 0.054076603076977425, 0.10206317648698315, 0.016618151429508954, -0.05699467512256192, 0.05387063334303563, -0.04656607694323364, 0.07196379176262845, 0.03624211384837883, 0.006367896873098029, 0.0324921267606339, 0.058018692512621234, 0.016155564824867685, 0.004202365389785294, 0.0017490437940088366]","(29.746458936055483,)",30,4,0.4,0.2
"[0.28428167514705266, 0.05038442642611596, -0.009578009812835298, 0.0024644392951035723, 0.05417982230742646, 0.0022630861979574812, -0.0499995113812676, 0.07806254463472903, -0.001998143635956365, 0.07725991779838648, -0.017667894808501172, 0.2638880687168548, 0.10469043697556689, 0.00859032890948476, -0.04681903622880357, 0.036514797749428146, -0.02114841824922914, -0.04530731386255887, 0.27630354990410594, 0.542500807390257, 0.7166376747914498, 0.8503390885585798, 0.8211122678767306, 0.69153729377188, 0.6318832451865224, 0.46617757958009387, 0.4527653652190782, 0.43960993262031023, 0.16593310784443266, -0.0333374218489744]","(102.61225562578002,)",30,4,0.8,0.2
