Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[0.9971176696004355, 0.9941709792225467]","(8.835889547586366e-06,)",2,4,0.1,0.2
"[0.9971453401590236, 0.9941434586853819]","(1.0563088730339425e-05,)",2,4,0.4,0.2
"[1.0047790454374563, 1.0101089222174857]","(5.0716837604314555e-05,)",2,4,0.8,0.2
"[0.77490058598046, 0.5973697335406228, 0.36488884164297875, 0.13758318364273792, 0.012650110133780602]","(1.3732462615991108,)",5,4,0.1,0.2
"[-0.9383609086834157, 0.8933133596953677, 0.8027615719565345, 0.6451686958205061, 0.41558096485493534]","(3.952155095732224,)",5,4,0.4,0.2
"[0.5371836722321266, 0.28845697479569915, 0.07508547142455775, 0.015491314360602281, 5.3076462052462255e-05]","(2.561527090130373,)",5,4,0.8,0.2
"[0.5584111910468661, 0.32040611992760004, 0.10398648749198323, 0.020281081934439803, 0.009957753553311978, 0.011022469866761492, 0.01038908612486382, 0.010676638617475984, 0.009797993369451134, -0.0027025752683356476]","(7.385814114645278,)",10,4,0.1,0.2
"[-0.7006830274338379, 0.5023686336475714, 0.2588617788913341, 0.06923134566508549, 0.017259882874171982, 0.012037652393011763, 0.016642549837562054, 0.008220909638967464, 0.0011318047525484334, -0.0025485713983311314]","(9.527120462562063,)",10,4,0.4,0.2
"[0.25174793836273646, 0.0487423990942822, -0.048887931339864917, -0.01044112580816392, 0.013004346222384857, 0.009978838287236464, 0.020926764017691835, 0.025651330174201237, 0.00977450269764344, -0.018813997399198198]","(8.906665131291057,)",10,4,0.8,0.2
"[-0.8260047033617435, 0.6909423728190309, 0.497090624705172, 0.26645134340686655, 0.07770542561563726, 0.019342734278645378, 0.016312945772276204, 0.013569180912648152, 0.0021504852593902182, 0.011965137605711244, 0.008245338632026237, 0.006140068314915301, 0.0055921824422137875, 0.010202101019567068, 0.011293124671713395, 0.007742376859888711, 0.01246459526562712, 0.007917821258611018, 0.008380675205151036, 0.0023907057721809268]","(19.025080862801495,)",20,4,0.1,0.2
"[-0.9886671434048192, 0.9720504462147986, 0.9527500720994732, 0.8759454246512246, 0.8253247692791104, 0.721151073821204, 0.508630810054791, 0.23982099107037255, 0.07677631975116796, 0.010712329539317333, 0.014438317056432046, 0.028362051294766953, 0.24236896087969018, 0.5319963276646916, 0.7301102843363934, 0.8376301905183585, 0.8014627054612715, 0.7269691163358203, 0.5376162841726827, 0.343141920171147]","(70.17366657986878,)",20,4,0.4,0.2
"[0.6133894541526552, 0.44796184777089915, 0.27035845313874685, 0.08488617170684568, -0.006069655355060322, 0.024834056119893907, 0.3825444972045201, 0.6492338953171544, 0.7345552627698458, 0.7861862423492147, 0.5315517744160664, 0.182448198327691, 0.1531124200735744, 0.013622907474391877, 0.04869791937968987, 0.06724710322651628, -0.015571156731644997, -0.0513355583125727, 0.016125392927349935, 0.015065322483084759]","(72.91637160193072,)",20,4,0.8,0.2
"[0.3286658923053421, 0.1103711136462384, 0.017013228561715617, 0.04451754158161656, 0.3495843825229313, 0.6081793995302782, 0.7764343303707005, 0.8521064993965429, 0.9037601694779236, 0.9273982089833058, 0.9487949600474694, 0.9488331161273101, 0.9685467562849185, 0.9930965359114965, 0.9797574264806413, 0.9783966148492025, 0.9718759268232273, 1.0064100908457159, 1.0243644317142306, 1.0295216977628494, 1.0178348877470458, 1.0085423979142765, 0.9624259038621215, 0.9272184595694652, 0.8805058140194963, 0.7754326044445242, 0.6341882697987442, 0.430365574215758, 0.20112656013371732, 0.07521005462782622]","(71.19779874903925,)",30,4,0.1,0.2
"[-0.5976295556570569, 0.45517249171170837, 0.23194952528149818, 0.054898675585454554, -0.5705682572485776, 0.8205472421103807, 1.0029873886620706, 0.9790065726019972, 0.9302858361644337, 0.8497671169190549, 0.8923523624964806, 0.9537678798261457, 0.9675825009979764, 0.9298170047306457, 0.8995850294143101, 0.7567405781784698, 0.5477060125413665, 0.42332065507863126, 0.1203374542942913, 0.09708120467134265, 0.09582573979891279, 0.015587772942663877, 0.03622498951399295, 0.03980456389999909, 0.03701889267185765, 0.044689078015657524, 0.022453742623662093, 0.001414651321569052, 0.023464569195252902, 0.009158632108996034]","(97.10268312250977,)",30,4,0.4,0.2
"[0.5993055103005056, 0.3843394134333447, 0.15795105779967375, 0.08642898170833979, 0.035941781327538724, 0.07097391299866637, 0.054400455912106516, -0.08856572630892033, 0.35462776620505493, 0.6951612067147447, 0.7085664989462872, 0.6453130401972177, 0.3642748128515957, 0.12110796089681161, 0.06220695345878771, -0.05045509206167218, 0.04386179891741748, 0.11118077012380745, -0.14300359611402014, 0.16293376729292797, 0.07251808461924636, -0.1904424633467221, 0.036454904049549874, -0.1173703398541921, -0.0003980464055332311, 0.0054783873299562025, 0.01379503835150711, 0.09849851242851759, 0.1814360170653377, 0.14405802749020102]","(93.37963867220634,)",30,4,0.8,0.2
