Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[1.0166615794251648, 1.0332474486829406]","(0.00029009161785959554,)",2,4,0.4,0.05
"[1.0145264297072263, 1.0284113359385738]","(0.0002836997136280759,)",2,4,0.4,0.1
"[1.0226739125358983, 1.0458206936841907]","(0.0005142763644533593,)",2,4,0.4,0.2
"[0.9295634194504343, 0.8554384022176333, 0.7217498749233396, 0.5351448612231926, 0.2867102005055008]","(0.35714201835253995,)",5,4,0.4,0.05
"[0.842237007986127, 0.708157269975383, 0.5095005832635633, 0.2613008990353007, 0.06839999302918481]","(0.9031889166771079,)",5,4,0.4,0.1
"[0.7896129090193845, 0.6276801987113517, 0.3949814026488343, 0.15974653042169637, 0.026875423434098312]","(1.2583948846049713,)",5,4,0.4,0.2
"[0.7169099376675321, 0.5392324501307296, 0.30186969624369464, 0.11494085029978823, 0.08154095594654098, 0.06502452181679264, -0.003082241641213304, -0.0016313623876208008, -0.04052281890942325, 0.010368801649770193]","(7.491064973695679,)",10,4,0.4,0.05
"[0.7189509936051133, 0.5075887664137925, 0.26895072103011897, 0.10848689875289308, 0.0015399085445114702, 0.01850166222433482, 0.021546045600468543, -0.007401129241624317, 0.032776650701413085, -0.00372527242123695]","(6.876037130542417,)",10,4,0.4,0.1
"[0.858753273971763, 0.7223821092268886, 0.5254445033186813, 0.27817796976163595, 0.0865576829644628, 0.016326854930499814, 0.00789051479338127, 0.010414604960759792, 0.005426909781899979, 0.004096809227778659]","(5.659676334363978,)",10,4,0.4,0.2
"[-0.8073082664853235, 0.681266016126145, 0.2895222871299101, 0.05448286603289987, 0.002343936505467964, -0.1280698102060316, 0.04562547630097971, 0.028464797074362273, -0.03641563607811593, 0.012670760748431513, 0.02600115056735469, -0.011222478077448972, 0.021039566644001972, -0.054596429305211115, -0.005273584447856916, -0.0989078476051567, 0.06260240500146944, -0.003943224320089589, -0.15435117500339535, 0.1831673921481048]","(32.20632594689649,)",20,4,0.4,0.05
"[0.2474351370198915, 0.036046405293007136, 0.4362547738676597, 0.7212887205555442, 0.7805496059974101, 0.7476155425901421, 0.6110255623769625, 0.4988292428541885, 0.3106627470670223, 0.30817654397646066, 0.45479363072178663, 0.5681311627937201, 0.7073808282456171, 0.7437261582506726, 0.7111902441697839, 0.6143939330310032, 0.3197597388660277, 0.12040658834709461, -0.006619550661679435, -0.22752646916555352]","(125.03037647456006,)",20,4,0.4,0.1
"[0.8792082127466351, 0.7920519983721095, 0.6607470583145305, 0.43155678060953584, 0.2180630250689477, -0.002830801686470652, 0.04958987994387501, 0.019304352215662315, -0.03849939551871086, 0.02258022867747026, 0.018953846864868604, 0.0077476642156908155, -0.02323951701130185, 0.01186749194903855, 0.007809672532454438, 0.02907188799403236, 0.013258326135404619, 0.009528195641661921, 0.002540965365130987, 0.018915451125774307]","(16.091664250012716,)",20,4,0.4,0.2
"[-1.030970012458876, 0.8585590681573171, 0.5439753336747619, 0.1177222041866477, 0.07023113272792167, -0.11667065880687844, 0.01864838349430986, 0.18106042917287585, -0.03722792076293968, -0.006271576599461093, 0.3755974096709511, 0.4727618429821656, 0.40178266374350413, 0.23776437788484894, 0.15575534707146177, -0.058502304387602067, 0.2557583358706146, 0.13333467234415597, 0.11762587838261163, -0.1314095104976063, 0.025760518998680038, 0.15972916005966553, 0.2877011891382666, -0.05178107891862338, 0.014398457113667482, -0.5667457253313712, 0.822569398343401, 0.8866266175973119, 0.8694965995082043, 0.821297381595627]","(155.6866364010286,)",30,4,0.4,0.05
"[-0.29716694548036937, 0.09819780583666107, -0.004302878075019834, 0.059700031910494236, 0.032508182884501524, -0.014535335847509927, 0.07926375296073862, -0.09139743765155328, 0.3600478467053252, 0.5853039005955057, 0.8923067134325406, 0.9260514455001867, 0.9483693317470663, 0.8888363429971103, 0.8570212061927511, 0.6076733376212431, 0.30003513772028867, 0.04908641512790046, 0.018175185523108706, -0.006168083013387116, 0.16179029934779754, 0.16521300090712368, 0.03059440929373408, -0.09584165434940392, 0.02426121492148392, 0.21354869474780397, 0.1864574011257073, 0.24031653880976123, 0.2593840996624229, 0.3334973589550816]","(117.53555779541267,)",30,4,0.4,0.1
"[0.347294407214497, 0.13018907899160956, 0.04496721713710142, 0.05469777186684428, 0.04040081422281652, 0.04434943656779254, 0.010476488685908295, -0.00025831057235992105, 0.0003171979936256626, 0.044992131235888674, 0.04323547984077733, 0.13304778219057037, 0.12159851702180524, 0.07294823026090329, 0.07372341784454589, 0.039086156563280405, 0.004771641242357974, 0.010720303277485327, 0.01840914229191365, -0.026410788970821344, -0.011139289149834808, -0.010193661267135723, -0.03540802058802378, 0.059767136107071295, 0.10999376311004042, 0.014174896133503312, 0.011675658992713611, 0.014839707510734074, 0.01971742508887958, 0.10462495838589031]","(34.13995955167589,)",30,4,0.4,0.2
