Best individual,Fitness value,Dimention,Number of elite members,Maximum absolute value a mutated gene can have,Probability for mutating an individual
"[1.0611809496174458, 1.137857595870027]","(0.0175554411576381,)",2,4,0.4,0.05
"[0.9429637349999895, 0.8887238915178562]","(0.003273994293595465,)",2,4,0.4,0.1
"[0.992765779065171, 0.9856206755863622]","(5.246925514678965e-05,)",2,4,0.4,0.2
"[0.5180244092963157, 0.26094448937696524, 0.07492445079021469, 0.026713334054030646, 0.005630000750570888]","(2.6386431967198423,)",5,4,0.4,0.05
"[-0.9654311210984645, 0.9378201068301754, 0.8826204959376072, 0.7829204020410029, 0.6107896968539337]","(3.933973102219341,)",5,4,0.4,0.1
"[0.5772552334619395, 0.3300258665919021, 0.11361002540651141, 0.02341599690979217, -0.002045483123086186]","(2.381923089980798,)",5,4,0.4,0.2
"[-0.9031136364138017, 0.8239669064107957, 0.7113973954877273, 0.48015555446818775, 0.18490384804811444, 0.12787252917635641, 0.015753018200603076, -0.004835519818915654, 0.011764243600659224, 0.020311265516069557]","(9.709181751666426,)",10,4,0.4,0.05
"[-0.6027867342836651, 0.39197113125616334, 0.13416507851902057, 0.03423760685742602, -0.01532602252137763, 0.011126080953115437, 0.029518138409016625, 0.009162251834952659, -0.016420755488732564, -0.02214410506472561]","(9.942495615145354,)",10,4,0.4,0.1
"[-0.8512852511062586, 0.7300651672420839, 0.5447363891127104, 0.3076860073094396, 0.11174427405449619, 0.039032825491967606, 0.016749321498211164, 0.011671622368325418, 0.009773208090596511, 0.010452824971269575]","(9.007723285149284,)",10,4,0.4,0.2
"[0.11346474486948033, -0.011910743651136535, -0.24694485828008583, 0.061377949693006195, 0.01855346212735476, -0.16834202892990557, 0.15911577503161478, 0.1270743360784557, 0.20458078861868265, 0.04651882897966464, -0.021515738990042665, 0.08254679237546511, -0.43868592174446536, 0.7340067263191854, 0.8281312279605437, 0.8898658547054628, 0.8574266000899002, 0.6988844837623058, 0.6048386819811786, 0.31815769331548704]","(93.83908622005946,)",20,4,0.4,0.05
"[-0.5927731224476688, 0.33367223957816394, 0.12904543007394753, 0.08535773122698798, 0.14691816683141756, 0.028315659710305696, -0.022258823448811443, 0.02919882645369315, 0.020824273106310305, 0.005518043246379362, 0.014544977812306126, 0.030754950984963406, 0.16246913022478626, 0.3212887197311007, 0.6825926788326936, 0.8180095951829758, 0.9047447136787756, 0.971850142619783, 1.0910978779010898, 1.1510735963279852]","(83.66215490350875,)",20,4,0.4,0.1
"[-0.6249306767276452, 0.41044214498053977, 0.1950055645162634, 0.06131176653564463, 0.008910002364273813, 0.02470889048691139, 0.019622101220594337, 0.006276597765610049, 0.033717394653606646, -0.006924682185026461, -0.023803188486907045, 0.027569013234417662, -0.0034055029184737115, 0.09465067735509167, 0.4492439497003986, 0.6770678232080239, 0.8504283210865862, 0.9362102830971493, 0.9169741129432841, 0.9053611687509509]","(78.47679909546756,)",20,4,0.4,0.2
"[0.7152121699462488, 0.9330297592842607, 0.9530601969017957, 0.8760487581552296, 0.9245133172353994, 0.48299006597300576, 0.6226445391362798, 0.6142293467908371, 0.45376861681997793, 0.3466256650787951, 0.3433475206368174, 0.6042425129116449, 0.6309818586618583, 0.49249471859139526, 0.14979113789935883, -0.12450610967121561, -0.5107087188126457, 0.9424852973912099, 0.9697028773005447, 0.8866138734196375, 0.3590971171544419, 0.004648022181872477, 0.30182055427891497, 0.1341678326431377, 0.13047145839135982, 0.07646271598024512, 0.6995482911960658, 0.9643483498339686, 1.1498310555497677, 1.3672660598150008]","(289.8489672871875,)",30,4,0.4,0.05
"[0.19526042024364898, 0.053652033517573194, -0.06752129625858566, 0.026314404360672648, 0.07098084312850997, 0.03700825217862824, 0.2675777587490377, 0.08700342256097052, -0.14822230473097736, 0.10306505115643061, 0.00225482739409736, -0.05867314743223173, 0.072620310931789, -0.04680740934891059, 0.06275072496583911, 0.34173968397383303, 0.040978890475815155, -0.028326203494124513, -0.0020504655518510106, -0.05982531583844973, -0.06600306855245278, 0.036561828221183826, 0.0228234396961483, -0.2685839408230478, 0.2098109926795931, 0.14505174298271692, 0.028474463979238585, 0.050432557754472446, 0.40785322788551787, 0.289826381851391]","(80.83973279898808,)",30,4,0.4,0.1
"[-0.7473181389387413, 0.4978686958890608, 0.22944029286301182, -0.01795928814446998, 0.14059176537250936, 0.03372800487808392, -0.00884195295906709, 0.10751390200027446, 0.09249523317626718, 0.09564746234989446, 0.05049358885237498, 0.015903651852225597, 0.014326327123952876, 0.13068384259824664, 0.4791986510236744, 0.6907950002794416, 0.8945617167449139, 0.9258541396393526, 0.8928282019704423, 0.9205989982022531, 0.9031197189532318, 0.882656981418242, 0.8311326152893735, 0.7903479929246013, 0.6310554040061135, 0.3463306375289247, 0.00913134532935906, 0.02850613998407539, 0.09170385571161607, 0.020607261163591406]","(92.5621788618575,)",30,4,0.4,0.2
