Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"[-0.00026210192167027487, 0.0017480691626113982]","(0.0,)",2,0.0,0.5,0.5
"[-4.776540424597313e-10, 1.7315459594502724e-10]","(0.0,)",2,0.37,0.5,0.5
"[-1.298635010727246e-09, 7.139288359781854e-10]","(0.0,)",2,0.74,0.5,0.5
"[-0.007493394008437976, 0.0056889296296341535, -1.9890554051328801, 0.9877612269742426, -0.0046091887871909125]","(2.0101712909459657,)",5,0.0,0.5,0.5
"[-0.001562426054118742, 0.0002016328940541376, 0.9936530870401195, -0.0029253478940143886, 0.00037899168285711045]","(0.9949590653861797,)",5,0.37,0.5,0.5
"[-0.994958636867674, -3.5527816708376467e-10, 1.7499820686153397e-09, 4.522431318953772e-10, 2.9848557005581213]","(0.9949590570932898,)",5,0.74,0.5,0.5
"[-1.065568359851002, -0.9131374851642508, 1.041200050075916, -0.06009542350176537, -0.9437334132735314, 0.034901000255428964, -0.042233980993645545, -0.13434679192213558, -0.8977552772671689, -0.023738470241704904]","(10.703431346732106,)",10,0.0,0.5,0.5
"[-0.08844327408137087, -1.958591595832361, 0.12194509587343026, 1.042358393243168, 0.9456875698196238, -1.0254908307229094, 1.9869909756950623, 0.0023915290810821283, -1.991911222312121, -0.00473015884642673]","(15.12448378114517,)",10,0.37,0.5,0.5
"[-0.99495863785209, -0.9949586355095058, -3.6756108387127406e-09, -0.9949586373013783, 4.281110619349311e-10, 0.9949586390883484, -0.9949586375587745, 3.099930471158468e-09, 1.9899122353833045, 0.9949586378451005]","(19.89914079387504,)",10,0.74,0.5,0.5
"[-0.12269894730882798, -0.07199640887863408, 1.0055268495174945, 0.08144699872530586, 1.048680355236343, -2.793707678651988, 0.18101301789930854, 1.360752724529711, -0.9992569514059069, 1.221392425581505, -0.08490917515677368, 0.7270491580131485, -0.9081045274384131, -1.018557966589846, 0.8998047916758812, -0.9637378702510566, 0.9648961360563165, -1.0848576536410515, -1.7573510231169256, -0.9958642805933253]","(71.91760933560298,)",20,0.0,0.5,0.5
"[-1.0067615022121539, 0.014367768667447009, 0.0028151615014395826, 0.8786101082028449, 1.0564866426927269, -1.9739582598637404, -1.8772334114405853, -1.0065446034000376, 0.9784274934863227, -1.9987688315822798, 0.24715938192661574, -2.076808287712247, -0.8574547031609361, 0.16531112700778983, 1.1085398566791138, -0.9646496498021734, -3.9643213737756815, -0.9588131557084982, 0.8100465015437057, -0.9535575941271459]","(60.82996556110395,)",20,0.37,0.5,0.5
"[-0.9942557661480124, 0.00031674022976966844, -0.9975750901405956, -0.0032352408698528325, -0.0011798558743244785, -3.983578152987554, 0.999040037298886, -1.001687694666021, 0.9919571795358788, 0.013362885885410175, 2.9772998923168426, -7.5453478545756755e-06, -1.0048398583871485, 0.9948706002668282, 1.9957074153661785, -0.9839906672206623, 1.9744420135889913, 0.9915780114871873, 0.006490492625392217, 1.00061351911105]","(42.96456186702635,)",20,0.74,0.5,0.5
"[-0.08843117702652496, 1.030716060742071, -1.1304434906510124, -3.002230990605618, 0.7067778767519164, 0.8189660777653267, -1.093425800850616, 0.07265038004244673, -0.5193616365148512, 0.07582529866684348, 0.7648334420364058, 0.9863852240969901, 0.8031871268357925, -0.18259286651446288, 0.031014177201221037, -1.0994919725812606, 0.9019515173537851, -1.6891060854973101, -0.9681027216392577, 0.9794528590018055, 0.13564787568719372, 1.098721060942432, -0.03419924950569994, 2.017886343954153, -1.7267835069479607, 0.04062918952559734, -2.102006432762153, 0.04225275945072959, -0.8946978341528095, 1.983991441415094]","(144.42238870615734,)",30,0.0,0.5,0.5
"[-0.7775128891639851, -1.1783702616696718, -0.03452912136361753, 1.0995237237917865, 2.0508121860014943, -1.9227907685353154, -1.9846440929785014, -1.097712483222347, -1.1557139456325463, -1.9222681587365567, 0.9976177971951973, 0.04352396949554482, 0.8239745698261773, -0.08889063107871037, 1.0625608920582206, -1.1076109308610846, -0.94865508177818, 0.05432003926424622, 0.8906005019103621, -0.902295631283122, 0.9748254406783764, 0.8961818535243586, 0.8876967035510773, -0.9875445465705612, 0.05742449896126473, 0.8336544110845805, -1.8701537354616689, 0.9876582999341633, -2.142460796066864, 1.0095203069165253]","(100.02775266465993,)",30,0.37,0.5,0.5
"[-0.009878241466313803, 0.0002727495797287328, 1.9568262482859684, 0.9625170834657375, -5.020033378425859, -0.9985246954413208, 0.018810668499683905, 0.9544828880319801, -1.9779516500055165, 2.975380306562685, -2.006181417470198, 1.008318702735249, -1.9890243875909956, 0.028917074102461915, -1.9680268631502549, 1.0005008808855498, -0.04065525854937505, -1.0065319277286422, 2.960229697888463, -1.985968719126131, -2.989899027185435, 2.006090426215447, -1.0012535767539736, -4.075070563861908, 1.9991263064643203, -0.005715932665625049, 0.00020501352409967732, 0.03050491235155802, 1.9940096069917508, -1.001382921631634]","(115.61510238178913,)",30,0.74,0.5,0.5
