Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"[-1.7272404516711688e-10, 1.3431344887626845e-09]","(0.0,)",2,0.0,0.5,0.5
"[-1.4158239960834282e-09, 5.303854806776074e-11]","(0.0,)",2,0.0,0.5,1.0
"[-9.267021804750143e-10, -1.0533243787908831e-09]","(0.0,)",2,0.0,0.5,1.5
"[-0.001356696060621246, 0.004361107040215753, -1.9955739224299218, -0.9928679389793612, -0.004119626974031553]","(2.0030020236375368,)",5,0.0,0.5,0.5
"[-0.9698714230515888, -1.0013698386163443, -0.9679335248694417, -0.9750415634499054, -1.973274274829697]","(1.9900533885019254,)",5,0.0,0.5,1.0
"[-0.011351589928885205, 0.012607759979326214, 0.011570126907983631, 0.022523100974960478, -0.9875411296663745]","(1.189956611865302,)",5,0.0,0.5,1.5
"[-0.04838106248855443, 0.015115164682336868, 0.12503239999756116, -1.0059287366798513, 1.9680118135120284, 0.034501771381138635, 0.05061820251828113, -0.1062646660295722, 2.87461749957474, -1.9107314102932762]","(27.835793360549687,)",10,0.0,0.5,0.5
"[-1.0068028325804517, -1.0063123345012581, 0.9491586954447346, -0.9875692479130407, 0.048366603447231864, 0.032195232076882636, -1.921224156047717, 0.020606339808568706, -0.0048672549654203544, 0.9956335930014311]","(10.345480160514946,)",10,0.0,0.5,1.0
"[-0.02500056560201193, 0.9500380058915466, 0.9607424293581365, 0.05772322731339615, -0.0074213475680127644, -0.8860699114341303, 0.9780331774756873, -2.9474373303154353, -1.039507685400941, 1.9508818449804977]","(11.91558663847297,)",10,0.0,0.5,1.5
"[-0.7964069709801884, -0.8491860164246596, 0.031592171810826776, 0.8419796620288569, 0.9588795631031016, -0.10815866718538727, 0.9837365410612968, 0.9743325348983783, -1.0210954621304864, 0.8218277594378369, -1.7053530132160626, 1.8012442575221268, -1.0826675717019911, -0.013839721579848589, 0.07106533538022725, 0.7947575736577951, -0.7666405065098166, 0.5988867224285535, -0.11401912701666957, -0.9766386546617162]","(104.29986472952412,)",20,0.0,0.5,0.5
"[-1.8285808856635144, -0.12229598170148588, 0.02164063878932198, -0.02242437793345542, 0.8983735303393687, -0.1303107363140804, 0.015581191568334627, -0.67461365447305, 0.9323032245442886, 0.8029389370735074, 0.9290461927570808, -0.8404125278104427, 1.154382743918096, -0.12589813751288043, 0.07405127807277508, 0.5772703889866301, -0.8683135213439216, -0.1538797536087564, 0.9979850071116423, 0.07043773309352992]","(70.13959217603893,)",20,0.0,0.5,1.0
"[-0.08353537982306097, 0.26636244728529257, 2.055831039884008, -0.05858538007578916, -0.04972487928221631, -1.8949174133416131, 0.05669093366057404, -0.9475857933753858, -2.8238772079513645, -1.0415196858611886, -0.9390801928094911, -0.9327533447546174, -1.0287666761681675, 0.053375119991277566, -0.18104706249200073, 0.5646952064596162, 0.029578129006789435, -0.8275704368943517, 0.09526230038532178, 0.9391991870477564]","(64.83690978086388,)",20,0.0,0.5,1.5
"[-0.05900589871716508, -0.9223768571998118, 0.9922089172340101, 0.0370597635444932, 1.8700629104961453, 0.40683356060028214, -0.1745201126698666, 0.0043126697213728615, 1.9760151268312378, -0.23417834097829776, 0.9863864935681033, 0.0583873243996447, -0.5875845787628343, 0.17561835882192986, 0.7166533085593755, 0.9806220807870528, 2.646839378154623, 0.11920806174904731, 0.0054771599591917, 0.9202089743920643, 1.1770459234863824, -0.04491832652964689, 1.0388270134528546, -1.074562822857866, 1.7246139836021517, 0.2662684657612729, 1.9895904686446433, 1.0315469932361307, -0.06363203753087375, -0.460472643968745]","(133.65479188092488,)",30,0.0,0.5,0.5
"[-1.1557498513251978, 1.9370370411844533, 0.8261998514595814, 1.075688046593725, 0.565464972328446, 1.9930817771084732, 0.7092684934762126, 1.7811752005850179, 0.09762316781178632, -2.978965674645094, -1.1400339391895549, 0.8430690562549011, 0.9876698996307093, 1.099914844961524, 0.06601252885556583, 0.05682106616774659, -2.682666829141152, 0.023288202854117437, -1.0074873411253162, 0.9056061218677856, 0.6761922379556436, -0.8999998444672709, 0.027428132113981245, 2.1170299317165866, 0.19709315290506382, -0.020187542317193642, 1.706193444856228, -1.0307831780122454, -0.8222645590878529, 0.9930330446349523]","(147.4558511791765,)",30,0.0,0.5,1.0
"[-0.9567899218592181, 1.0596371174396246, -1.6055968249677635, -1.8067155044803318, -0.7346198351289738, -0.6710926181449487, 0.06243706037221093, 1.1444120353557998, -0.7345766271137449, 0.16861766462457395, -0.11454376467752893, 0.8621352484256819, -0.04766966752197799, 0.025341093429806054, -0.9368747728714251, -0.921684150124178, -0.052726854803534236, -0.3210141746970166, 0.2075901830379388, -0.8578131430482808, -0.14368467939462934, 0.8840743323019858, 0.9633414274054082, 0.6435673329361972, -0.9345423409948467, -0.012944921954237083, 0.15638264675519306, -0.3708909963140605, 0.16671837125351224, 0.03573686628326692]","(134.07803008186187,)",30,0.0,0.5,1.5
