Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"[-1.262601843247605e-09, 1.2916375832762133e-09]","(0.0,)",2,0.37,0.5,0.5
"[-1.6099575045916967e-09, 2.2763913916844748e-10]","(0.0,)",2,0.37,1.0,0.5
"[-1.0075230066759299e-09, -1.0456739089412088e-09]","(0.0,)",2,0.37,1.5,0.5
"[-0.01275303697772128, 0.9781630093245437, -0.04779910611442967, -0.8947435490683798, 1.600352362177133e-05]","(3.016157868954261,)",5,0.37,0.5,0.5
"[-0.9949586367226, 1.9899122322995757, 0.994958638763638, 2.792544683978401e-10, -0.994958637509429]","(2.9848771712798694,)",5,0.37,1.0,0.5
"[-0.9949586374176915, 0.9949586378729873, -0.9949586375354394, 0.9949586368726431, 0.9949586374229883]","(10.944519355673592,)",5,0.37,1.5,0.5
"[-0.00021995679209326215, -0.027284014316350302, -0.9914806248102266, 1.0201446430971588, -0.059728723787550585, -0.030261159003742433, -0.03200757282335424, -0.029198894342213226, 0.9559136399863191, 1.0464970924447776]","(13.269933508333983,)",10,0.37,0.5,0.5
"[-0.00036488381566763677, -1.9943363304351034, 0.001612500774517544, 0.994633548694313, -0.996626506845165, -0.0011754598619844955, -0.993525164114453, 0.9883002100269634, 0.9950304325873053, 0.0027897748969072903]","(11.404376033421642,)",10,0.37,1.0,0.5
"[-1.9899122347676184, -1.2529822183181153e-09, 2.984855700624093, -1.9899122339130302, -1.9899122366571782, -0.9949586313598364, 2.325267506981178e-09, -2.9848556944109514, -1.9899122304170966, -1.989912234714643]","(11.939513546929792,)",10,0.37,1.5,0.5
"[-0.034163069600941905, 1.3622051183685469, -0.14293969969204293, -0.9162183257037625, -0.999682484948179, 0.06607544315762573, 1.9456251219780205, -0.7626692774205196, 0.8779797518732194, -1.1680670086824674, -0.9652707930608574, -0.035892795337109394, 0.16986760679949456, 1.0317498486458605, -0.9524978424975451, 0.053568932649030024, -1.0211147159197151, -0.8318816870649329, 0.9997177483604073, 0.1437211703358489]","(103.99748708186192,)",20,0.37,0.5,0.5
"[-0.03371320091628061, -0.9994270807443085, 0.993903266752515, -0.01680629679108928, -0.029797357289370396, -0.04624839390516447, -3.020160305826226, 0.03244959740595802, 0.05839973290586606, 1.0335865377440383, -0.04429411769125432, 3.9626194917156226, 0.0027231142693828676, -0.9227188984510494, -1.9468342253148498, 1.0891110307327192, 1.9688878823409035, 0.9648334035960999, 1.8906319632788016, 0.024939658670558792]","(40.35554286407331,)",20,0.37,1.0,0.5
"[-0.013546820431019731, 1.9904668516855177, -1.0263309745836298, 1.0265923296694786, 0.9949584628310881, 1.9899638751184383, -1.0258823295112787, 1.9172234373123043, 0.005633405154770112, 1.021132067055126, -0.9958712292408471, 1.9396342653042185, -2.97002280750146, 1.0459778079540132, -2.995976580004644, -0.010045412444278918, -3.979783861206381, 0.9770884518915841, -0.018623230166551163, 0.9908054436134764]","(125.17610368125679,)",20,0.37,1.5,0.5
"[-0.3257978692094221, -0.08128439468139718, -0.026393214051761434, 0.005023552514809768, 1.0343849535257503, 1.1297132184667815, 1.2324113797600837, 0.4404689324700519, -0.12830842666146017, -0.993335134115069, 0.8243867766957204, -1.3084355234536746, -0.30371521326134154, -0.00900076825668227, 0.7591536402946274, -2.0358842656164438, 1.0047673477105914, -2.027603675171776, -0.13339808411972465, -1.0092569455616507, 0.06685331241864269, -0.08872612896506481, 0.012886852583606861, -3.081440018030062, 0.12136003368179712, 1.1049428211928305, 2.6312203524376847, 0.021567144326771173, 0.05718804917184274, 0.9613528480338578]","(159.74946848503433,)",30,0.37,0.5,0.5
"[0.9750352067853606, -0.9532099263773284, 1.9966217587870612, -3.0060572623992443, -1.1872866107671103, 2.918036163218447, 1.9079580048241447, -2.056390280847767, 0.9990017998693375, 0.9829931494721887, -0.9409254055692889, -1.9735207205373602, 1.0260550254261238, 4.248662344635152, -1.107999062924766, 1.9893083312175912, 1.0489243001195996, -3.0181411095854314, 0.9798714001332854, 0.9280885788122766, -1.0243725638017571, -2.9829350100689327, -0.03447303115504872, 1.3052612696146937, -1.2746535469919655, -3.0321595687966747, 0.02427981730507141, -3.9967691213324517, -4.008347531439823, -1.0064790200695113]","(140.5820998418843,)",30,0.37,1.0,0.5
"[-0.012486900006238807, 4.068776449592466, -2.97016876000915, 2.997961522355974, 1.9899163698286528, -0.21837215357054704, 0.013993658584998205, 0.9949586400021315, -0.979912508576927, -0.011703082326286226, -2.990831597621968, 1.9290427554781278, -3.8954742718238498, -1.9982316307776111, 1.9939119427761522, -1.0296804633087366, 0.18356363050939364, -1.0958136069017046, -2.9974916923625035, -0.09815195301437378, -3.9618409815693476, -0.013689976901444275, -0.9852166116995875, -3.9418356139561617, 0.9953948772734035, -2.865201358123478, 1.0129804772408115, -2.031333075783572, -1.9954888435301625, 1.9845699130887386]","(126.36614119681113,)",30,0.37,1.5,0.5
