Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"[0.7556222989860466, 0.570569734634235]","(0.002892028028179642,)",2,0.0,0.5,0.5
"[0.7219794215409325, 0.5204454760971673]","(0.0016272416145947843,)",2,0.37,0.5,0.5
"[1.0, 1.0]","(0.0,)",2,0.74,0.5,0.5
"[-0.22263970215278572, 0.06823102018639135, 0.01395826205501758, 0.01269950764445835, 0.0012359270155342464]","(2.610680169192147,)",5,0.0,0.5,0.5
"[-0.4562347731418369, 0.2328112951034643, 0.17561398537281056, 0.1707217102382709, 0.07986018147002624]","(2.0459290694256946,)",5,0.37,0.5,0.5
"[-0.7557547158980287, 0.58536214634, 0.3532984315243945, 0.1307391037765034, 0.012898214963354412]","(0.31768291692434525,)",5,0.74,0.5,0.5
"[-0.1771638631959734, 0.07165044580559006, 0.0025731393802485196, -0.02354543180615707, 0.017216608020635477, 0.008897687595718953, 0.010349947355135353, 0.07217267437810267, 0.03501044566323975, 0.04504648009614996]","(10.000593262514151,)",10,0.0,0.5,0.5
"[-0.07067423696546486, -0.06749647427898196, 0.23331177278779713, 0.08811955689933239, -0.017025373117690753, 0.03897620749404333, 0.004236846440680755, 0.11248615582784806, 0.3168436411172748, 0.2654073262650036]","(12.675801157615176,)",10,0.37,0.5,0.5
"[-0.8410842450164625, 0.7235942976645307, 0.5329343961366824, 0.2911684697500003, 0.08788158314446816, 0.0164837766532319, 0.010103839654612643, 0.011082766124318976, 0.009385780966027544, -0.0008823395541280679]","(0.0004854240666101822,)",10,0.74,0.5,0.5
"[-0.009774285193107994, 0.04548942876159122, 0.14578961411125174, 0.17702426333782834, 0.1731731462295023, 0.16123959615796996, 0.11674621528674324, 0.16710452825520716, 0.01479640284293688, -0.1042199966348028, 0.0947480953774206, 0.053890127431280604, 0.049655665423440055, 0.018950390149374354, -0.06291976573784308, 0.1356440979045213, -0.06571878579248434, -0.09760383681692836, -0.13784597724412825, -0.17911592311831964]","(41.329347460814155,)",20,0.0,0.5,0.5
"[-0.09490066890770942, -0.12570135009490974, -0.14917624681246167, 0.10859764004215901, 0.14048879701201092, -0.05371767020024653, 0.31069508675782553, 0.1855747522455549, 0.10451131107159656, -0.09065090587805759, -0.1514860195240459, 0.048663024378925765, -0.053394059567265256, -0.18556995849048383, 0.27772237815384965, 0.10936041040472311, -0.4112589085658356, 0.5405342743611344, 0.2598600092955436, 0.20433193732613275]","(143.57144841374142,)",20,0.37,0.5,0.5
"[-0.8157076790687243, 0.6977402317061606, 0.5138866095592451, 0.26395016918812453, 0.053918858407645764, 0.01581942993673789, -0.010247077656999897, -0.0014957036700003208, 0.01927643904086556, 0.02756746417985491, 0.046314776910794074, 0.002430980866418496, -0.029554940839300544, -0.043279822583297156, 0.002683244797745388, 0.025509841967216264, 0.011147032835026167, 0.04059979950410994, 0.08158652402422432, -0.009103989429104759]","(14.164314177962094,)",20,0.74,0.5,0.5
"[-0.12558289646247145, -0.1715167176033376, -0.07587272029264479, -0.0969236430709531, -0.10970963934916088, -0.2506257270230388, 0.024041410518496713, 0.02355688035049328, 0.012751704527929389, 0.016431236985475346, 0.46701476699480726, 0.5634605045225755, 0.18828076632472515, -0.10465605640935018, -0.01702171509405027, -0.34922652522147296, 0.3201620225329066, 0.08391843219281442, 0.22858317805999365, 0.37837849696890286, 0.4253782510533414, 0.4673369200952111, 0.35210886595238255, 0.17492983616294913, -0.18589728553051024, 0.0858930360367884, -0.10381659800653277, 0.118867518817816, -0.11587393819790355, 0.08889543025161624]","(118.36575722281435,)",30,0.0,0.5,0.5
"[-0.061311505536037036, -0.5358891841161366, -0.09370167651000781, 0.13977766334584812, 0.36194611446942504, 0.31360810965169006, -0.0007361754876018647, 0.09213063593888333, 0.15017919240322036, 0.08143748977783162, 0.3098675643864781, -0.03606140385981393, -0.30841316470311375, -0.11834814607864774, -0.7272310560774925, 0.6293779375904754, -0.0024577867717384405, 0.20922883693582417, -0.613153474249918, 0.7529498263137161, 0.6469425405513242, 0.30644166763591446, -0.0390772337041726, 0.24264378601976858, 0.027398440277051, -0.05722044341045423, -0.6185415460909928, 0.6421977968174036, 0.4553337732918047, -0.2007842077856468]","(250.18834212280603,)",30,0.37,0.5,0.5
"[-0.016533474200161394, 0.14515517029294833, 0.09139639577869418, 0.07139048212412835, 0.018543218594646145, 0.01951988332934138, 0.015891551064801335, -0.3090821648265358, 0.5990999705711482, 0.6165009813021189, 0.5516191388642366, 0.4772119084775277, 0.27569178857649057, 0.12878763668623824, 0.1765031985082692, 0.21632722086631442, 0.2559093798729659, 0.4596886647994229, 0.5014634271714902, 0.4743375902349422, 0.3868874577629763, 0.21688372585054064, -0.12926579247351647, 0.0478023378900528, 0.03684343179756708, -0.013097787415434103, 0.036964685989365004, 0.08409930997806903, 0.10514238178331717, 0.04918582809853093]","(119.18194148039082,)",30,0.74,0.5,0.5
