Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"[0.8331273561219033, 0.6932708138600935]","(0.00012022857554318817,)",2,0.37,0.5,0.5
"[0.9653139852749181, 0.9317366446995412]","(0.0012040116121474636,)",2,0.37,1.0,0.5
"[0.9999940589914996, 0.9999881180182932]","(0.0,)",2,0.37,1.5,0.5
"[-0.34081247633690037, 0.132102954138105, 0.02927900216897378, 0.009523877887116934, -0.00037862212020092024]","(0.04760649144658165,)",5,0.37,0.5,0.5
"[-0.8024478510483973, 0.659689500537919, 0.44467273917632566, 0.20456103830111116, 0.04041363341518669]","(2.2230879266950234,)",5,0.37,1.0,0.5
"[-0.9907780051939802, 0.9915168096463637, 0.9870849970952715, 0.9754938682393971, 0.9515882882507988]","(0.8856928602157936,)",5,0.37,1.5,0.5
"[-0.06700641822896458, -0.19880462514630579, 0.2147604080757581, 0.05019884614920403, 0.12284630570910757, 0.14997043424378462, 0.22490750936386314, 0.179651038473077, 0.1351673974989371, -0.058743941391390275]","(11.116622732370455,)",10,0.37,0.5,0.5
"[-0.12634064240046053, -0.08173673528353495, 0.03944503674732061, 0.1091737525118882, -0.09383424418969473, 0.1454914157900926, 0.19515892758807019, 0.14009696426517873, 0.09375038613369692, 0.09663835283231538]","(10.762600675234136,)",10,0.37,1.0,0.5
"[-0.988166879642321, 0.9860036030959418, 0.9765310113911072, 0.9561167954712949, 0.9133445276319379, 0.8327358697441495, 0.7011147814092324, 0.496075219600086, 0.24556049685393364, 0.05956536125427335]","(4.923275422625612,)",10,0.37,1.5,0.5
"[-0.31614870488989205, 0.07709394662155414, 0.2624096349258305, 0.34191451309134135, 0.4245495824583812, 0.4227975359015167, 0.4609493217618936, 0.023148716833564297, 0.1569391244227225, -0.10112340551377601, 0.4530912335418656, 0.5432303369171942, 0.07871443611367283, -0.20919580775250027, 0.2593941604332297, 0.04315809773720119, -0.1310511392320137, 0.02465962132864351, -0.05004421527650517, 0.020127595215191318]","(101.27949195364675,)",20,0.37,0.5,0.5
"[-0.05697333438425908, -0.1788068112374788, 0.30796306788472094, -0.09092016910061776, 0.3252275895200319, 0.09120380095011656, 0.08135114949879899, -0.2346890644642341, 0.21650510702214637, -0.08265174114806077, -0.018253731388689354, -0.6536720677798977, 0.6916104628033424, 0.5242414095169128, 0.17435836735130236, -0.3156801101819064, -0.24369763669593042, 0.634237895001692, 0.7579247670228025, 0.7955832455801916]","(124.7591566799427,)",20,0.37,1.0,0.5
"[-0.4407265345619508, 0.21190512375133955, 0.043589172128333784, 0.00982041545847325, 0.013308181622009268, -0.4052096937712259, 0.43559957747096595, 0.49479858014934014, 0.4907235289591952, 0.3816264448420627, 0.22332486307671506, 0.03715282389048809, -0.4454524097294914, 0.6313728974269678, 0.7448566056368146, 0.6942755852238331, 0.5802561087095087, 0.3758671838111769, 0.18402991456939613, 0.0922431192587899]","(109.9954834190427,)",20,0.37,1.5,0.5
"[-0.40251309999007767, -0.27875924715350847, 0.2013620431007859, -0.25743869572897005, -0.38282741901814044, -0.2659309151262231, 0.22556920768205382, 0.16511679206854848, -0.8402843404477253, 0.33562563393708544, 0.09111933910732326, 0.1476487214180756, -0.21837656562119073, 0.1528501897408698, 0.30731745359189666, 0.27620586477495257, -0.1257043204302985, 0.24399242927119102, 0.7389451994241437, 0.4660542163410565, 0.04709512393493413, 0.5275288119760795, 0.4209500316077334, 0.38340741944781953, 0.3163896258102617, 0.20699222526893893, -0.49339809911624766, 0.3895770105923799, -0.7942847411552177, 0.6330080265781891]","(166.55461379441263,)",30,0.37,0.5,0.5
"[-0.5032799863720899, 0.43066324793140587, 0.43028271217044955, 0.13927916466470439, -0.7470420862488155, 0.9639248693395787, 0.8792242192789425, 0.694129320982451, -0.14733743110001277, -0.6140215966631503, 0.04052712766369652, -0.4740229075950295, 0.016978120779854045, 0.4448052519391954, -0.20586460961589997, 0.38134406480893457, 0.10547038612487315, 0.5289284798036187, -0.7660686838887493, 1.0180217386549284, 0.6141978103881625, -0.39625483681343104, -0.5596393697546376, 0.39484679766107345, -0.4486974020530738, 0.1909230447644971, -0.6041999800428793, 0.7247031932913133, 0.3971187301549337, 0.7533482479131925]","(233.48107069507694,)",30,0.37,1.0,0.5
"[-0.8684363017975179, 0.7595110132387115, 0.46389017304145946, 0.10603688838322219, 0.016293152117942473, -0.1466589711438902, 0.058035912500946904, 0.1140778512958235, -0.3898490893563672, -0.2166625576127365, 0.2474995336332364, 0.01298557967764706, 0.021311318722212744, -0.43316391891306816, 0.5535172480270958, 0.5784736818683649, 0.2511814893184832, 0.5578206212956347, 0.7501238626237704, 0.8534329023918493, 0.673872790484996, 0.4860307126474241, 0.14336713226380127, -0.33317579776192474, 0.05654041053725785, -0.14970712434699887, 0.9217420407425502, 1.234766029111058, 0.5685994200584106, -0.4710386998188605]","(209.804924171243,)",30,0.37,1.5,0.5
